Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Renault,1:13.732
2,1,Ayrton Senna,SEN,McLaren Honda,1:14.202
3,6,Riccardo Patrese,PAT,Williams Renault,1:14.370
4,2,Gerhard Berger,BER,McLaren Honda,1:15.114
5,19,Michael Schumacher,MSC,Benetton Ford,1:15.210
6,27,Jean Alesi,ALE,Ferrari,1:16.091
7,4,Andrea de Cesaris,DEC,Tyrrell Ilmor,1:16.440
8,20,Martin Brundle,BRU,Benetton Ford,1:16.562
9,26,Erik Comas,COM,Ligier Renault,1:16.727
10,11,Mika Hakkinen,HAK,Lotus Ford,1:16.863
11,9,Michele Alboreto,ALB,Footwork Mugen Honda,1:16.937
12,12,Johnny Herbert,HER,Lotus Ford,1:16.944
13,3,Olivier Grouillard,GRO,Tyrrell Ilmor,1:17.037
14,22,Pierluigi Martini,MAR,Dallara Ferrari,1:17.047
15,32,Stefano Modena,MOD,Jordan Yamaha,1:17.231
16,24,Gianni Morbidelli,MOR,Minardi Lamborghini,1:17.333
17,23,Christian Fittipaldi,FIT,Minardi Lamborghini,1:17.367
18,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:17.409
19,28,Nicola Larini,LAR,Ferrari,1:17.465
20,33,Mauricio Gugelmin,GUG,Jordan Yamaha,1:17.805
21,29,Bertrand Gachot,GAC,Venturi Lamborghini,1:17.808
22,25,Thierry Boutsen,BOU,Ligier Renault,1:17.957
23,17,Emanuele Naspetti,NAS,March Ilmor,1:18.138
24,21,Jyrki Jarvilehto,JAR,Dallara Ferrari,1:18.565
25,16,Jan Lammers,LAM,March Ilmor,1:18.843
26,30,Ukyo Katayama,KAT,Venturi Lamborghini,1:18.862
