Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Renault,1:19.495
2,6,Riccardo Patrese,PAT,Williams Renault,1:20.368
3,1,Ayrton Senna,SEN,McLaren Honda,1:20.608
4,27,Jean Alesi,ALE,Ferrari,1:20.895
5,2,Gerhard Berger,BER,McLaren Honda,1:21.224
5,30,Ukyo Katayama,KAT,Venturi Lamborghini,1:28.310
6,19,Michael Schumacher,MSC,Benetton Ford,1:21.831
6,35,Perry McCarthy,MCC,Moda Judd,7:05.924
7,20,Martin Brundle,BRU,Benetton Ford,1:22.068
8,28,Ivan Capelli,CAP,Ferrari,1:22.119
9,12,Johnny Herbert,HER,Lotus Ford,1:22.579
10,4,Andrea de Cesaris,DEC,Tyrrell Ilmor,1:22.647
11,9,Michele Alboreto,ALB,Footwork Mugen Honda,1:22.671
12,24,Gianni Morbidelli,MOR,Minardi Lamborghini,1:22.733
13,33,Mauricio Gugelmin,GUG,Jordan Yamaha,1:22.863
14,11,Mika Hakkinen,HAK,Lotus Ford,1:22.886
15,29,Bertrand Gachot,GAC,Venturi Lamborghini,1:23.122
16,16,Karl Wendlinger,WEN,March Ilmor,1:23.264
17,23,Christian Fittipaldi,FIT,Minardi Lamborghini,1:23.487
18,22,Pierluigi Martini,MAR,Dallara Ferrari,1:23.508
19,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:23.641
20,21,Jyrki Jarvilehto,JAR,Dallara Ferrari,1:23.862
21,32,Stefano Modena,MOD,Jordan Yamaha,1:23.890
22,25,Thierry Boutsen,BOU,Ligier Renault,1:23.909
23,26,Erik Comas,COM,Ligier Renault,1:23.974
24,3,Olivier Grouillard,GRO,Tyrrell Ilmor,1:23.990
25,15,Gabriele Tarquini,TAR,Fondmetal Ford,1:24.479
26,34,Roberto Moreno,MOR,Moda Judd,1:24.945
27,7,Eric van de Poele,VAN,Brabham Judd,1:24.981
28,8,Damon Hill,HIL,Brabham Judd,1:25.394
29,14,Andrea Chiesa,CHI,Fondmetal Ford,1:25.660
30,17,Paul Belmondo,BEL,March Ilmor,1:25.750
