Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,1,Ayrton Senna,SEN,McLaren Honda,1:19.775
2,6,Riccardo Patrese,PAT,Williams Renault,1:19.872
3,5,Nigel Mansell,MAN,Williams Renault,1:19.948
4,2,Gerhard Berger,BER,McLaren Honda,1:20.145
5,19,Michael Schumacher,MSC,Benetton Ford,1:20.456
5,34,Roberto Moreno,MOR,Moda Judd,1:43.557
6,12,Johnny Herbert,HER,Lotus Ford,1:21.645
7,20,Martin Brundle,BRU,Benetton Ford,1:21.738
8,27,Jean Alesi,ALE,Ferrari,1:21.777
9,28,Ivan Capelli,CAP,Ferrari,1:22.297
10,11,Mika Hakkinen,HAK,Lotus Ford,1:22.360
11,30,Ukyo Katayama,KAT,Venturi Lamborghini,1:22.510
12,16,Karl Wendlinger,WEN,March Ilmor,1:22.566
13,24,Gianni Morbidelli,MOR,Minardi Lamborghini,1:22.594
14,4,Andrea de Cesaris,DEC,Tyrrell Ilmor,1:22.635
15,22,Pierluigi Martini,MAR,Dallara Ferrari,1:22.850
16,9,Michele Alboreto,ALB,Footwork Mugen Honda,1:22.878
17,32,Stefano Modena,MOD,Jordan Yamaha,1:23.023
18,15,Gabriele Tarquini,TAR,Fondmetal Ford,1:23.063
19,29,Bertrand Gachot,GAC,Venturi Lamborghini,1:23.138
20,17,Paul Belmondo,BEL,March Ilmor,1:23.189
21,25,Thierry Boutsen,BOU,Ligier Renault,1:23.203
22,26,Erik Comas,COM,Ligier Renault,1:23.212
23,21,Jyrki Jarvilehto,JAR,Dallara Ferrari,1:23.249
24,33,Mauricio Gugelmin,GUG,Jordan Yamaha,1:23.431
25,23,Christian Fittipaldi,FIT,Minardi Lamborghini,1:23.433
26,3,Olivier Grouillard,GRO,Tyrrell Ilmor,1:23.469
27,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:23.721
28,7,Eric van de Poele,VAN,Brabham Judd,1:24.499
29,14,Andrea Chiesa,CHI,Fondmetal Ford,1:25.044
30,8,Damon Hill,HIL,Brabham Judd,1:25.812
