Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:32.484,9
2,6,Juan Pablo Montoya,MOY,Williams BMW,1:33.184,12
3,5,Ralf Schumacher,RSC,Williams BMW,1:33.297,12
4,2,Rubens Barrichello,BAR,Ferrari,1:33.323,11
5,3,Mika Hakkinen,HAK,McLaren Mercedes,1:33.662,11
6,7,Giancarlo Fisichella,FIS,Benetton Renault,1:33.830,11
7,4,David Coulthard,COU,McLaren Mercedes,1:33.916,11
8,11,Jarno Trulli,TRU,Jordan Honda,1:34.002,12
9,8,Jenson Button,BUT,Benetton Renault,1:34.375,12
10,16,Nick Heidfeld,HEI,Sauber Petronas,1:34.386,12
11,12,Jean Alesi,ALE,Jordan Honda,1:34.420,12
12,17,Kimi Räikkönen,RAI,Sauber Petronas,1:34.581,11
13,18,Eddie Irvine,IRV,Jaguar Cosworth,1:34.851,11
14,10,Jacques Villeneuve,VIL,BAR Honda,1:35.109,12
15,22,Heinz-Harald Frentzen,FRE,Prost Acer,1:35.132,11
16,19,Pedro de la Rosa,DLR,Jaguar Cosworth,1:35.639,12
17,9,Olivier Panis,PAN,BAR Honda,1:35.766,12
18,21,Fernando Alonso,ALO,Minardi European,1:36.410,11
19,23,Tomas Enge,ENG,Prost Acer,1:36.446,10
20,15,Enrique Bernoldi,BER,Arrows Asiatech,1:36.885,12
21,14,Jos Verstappen,VER,Arrows Asiatech,1:36.973,11
22,20,Alex Yoong,YOO,Minardi European,1:38.246,11
