Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,15,Alain Prost,PRO,Renault,1:36.672
2,16,Eddie Cheever,CHE,Renault,1:38.980
3,6,Riccardo Patrese,PAT,Brabham BMW,1:39.104
4,28,Rene Arnoux,ARN,Ferrari,1:39.115
5,11,Elio de Angelis,DEA,Lotus Renault,1:39.312
6,5,Nelson Piquet,PIQ,Brabham BMW,1:39.601
7,22,Andrea de Cesaris,DEC,Alfa Romeo,1:39.611
8,23,Mauro Baldi,BAL,Alfa Romeo,1:39.618
9,35,Derek Warwick,WAR,Toleman Hart,1:39.881
10,9,Manfred Winkelhock,WIN,ATS BMW,1:40.233
11,27,Patrick Tambay,TAM,Ferrari,1:40.393
12,8,Niki Lauda,LAU,McLaren Ford,1:41.065
13,36,Bruno Giacomelli,GIA,Toleman Hart,1:41.775
14,7,John Watson,WAT,McLaren Ford,1:41.838
15,3,Michele Alboreto,ALB,Tyrrell Ford,1:42.177
16,1,Keke Rosberg,ROS,Williams Ford,1:42.450
17,34,Johnny Cecotto,CEC,Theodore Ford,1:42.615
18,12,Nigel Mansell,MAN,Lotus Ford,1:42.650
19,2,Jacques Laffite,LAF,Williams Ford,1:42.678
20,25,Jean-Pierre Jarier,JAR,Ligier Ford,1:42.737
21,29,Marc Surer,SUR,Arrows Ford,1:42.962
22,33,Roberto Guerrero,GUE,Theodore Ford,1:43.367
23,31,Corrado Fabi,FAB,Osella Ford,1:43.411
24,4,Danny Sullivan,SUL,Tyrrell Ford,1:43.654
25,26,Raul Boesel,BOE,Ligier Ford,1:44.470
26,30,Chico Serra,SER,Arrows Ford,1:44.778
NC,17,Eliseo Salazar,SAL,RAM Ford,1:45.073
NC,32,Piercarlo Ghinzani,GHI,Osella Ford,1:45.812
NC,18,Jean Louis Schlesser,SCH,RAM Ford,1:45.866
