Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,15,Alain Prost,PRO,Renault,1:24.840
2,28,Rene Arnoux,ARN,Ferrari,1:25.182
3,16,Eddie Cheever,CHE,Renault,1:26.279
4,27,Patrick Tambay,TAM,Ferrari,1:26.298
5,1,Keke Rosberg,ROS,Williams Ford,1:26.307
6,5,Nelson Piquet,PIQ,Brabham BMW,1:27.273
7,22,Andrea de Cesaris,DEC,Alfa Romeo,1:27.680
8,2,Jacques Laffite,LAF,Williams Ford,1:27.726
9,25,Jean-Pierre Jarier,JAR,Ligier Ford,1:27.906
10,35,Derek Warwick,WAR,Toleman Hart,1:28.017
11,3,Michele Alboreto,ALB,Tyrrell Ford,1:28.256
12,29,Marc Surer,SUR,Arrows Ford,1:28.346
13,23,Mauro Baldi,BAL,Alfa Romeo,1:28.639
14,12,Nigel Mansell,MAN,Lotus Ford,1:28.721
15,30,Chico Serra,SER,Arrows Ford,1:28.784
16,9,Manfred Winkelhock,WIN,ATS BMW,1:28.975
17,6,Riccardo Patrese,PAT,Brabham BMW,1:29.200
18,26,Raul Boesel,BOE,Ligier Ford,1:29.222
19,11,Elio de Angelis,DEA,Lotus Renault,1:29.518
20,4,Danny Sullivan,SUL,Tyrrell Ford,1:29.530
NC,36,Bruno Giacomelli,GIA,Toleman Hart,1:29.552
NC,8,Niki Lauda,LAU,McLaren Ford,1:29.898
NC,7,John Watson,WAT,McLaren Ford,1:30.283
NC,31,Corrado Fabi,FAB,Osella Ford,1:30.495
NC,17,Eliseo Salazar,SAL,RAM Ford,1:31.229
NC,32,Piercarlo Ghinzani,GHI,Osella Alfa Romeo,1:35.572
