Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Sebastian Vettel,VET,Ferrari,71,1:31:26.262,25
2,77,Valtteri Bottas,BOT,Mercedes,71,+2.762s,18
3,7,Kimi Räikkönen,RAI,Ferrari,71,+4.600s,15
4,44,Lewis Hamilton,HAM,Mercedes,71,+5.468s,12
5,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,71,+32.940s,10
6,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,71,+48.691s,8
7,19,Felipe Massa,MAS,Williams Mercedes,71,+68.882s,6
8,14,Fernando Alonso,ALO,McLaren Honda,71,+69.363s,4
9,11,Sergio Perez,PER,Force India Mercedes,71,+69.500s,2
10,27,Nico Hulkenberg,HUL,Renault,70,+1 lap,1
11,55,Carlos Sainz,SAI,Renault,70,+1 lap,0
12,10,Pierre Gasly,GAS,Toro Rosso,70,+1 lap,0
13,9,Marcus Ericsson,ERI,Sauber Ferrari,70,+1 lap,0
14,94,Pascal Wehrlein,WEH,Sauber Ferrari,70,+1 lap,0
15,8,Romain Grosjean,GRO,Haas Ferrari,69,+2 laps,0
16,18,Lance Stroll,STR,Williams Mercedes,69,+2 laps,0
NC,28,Brendon Hartley,HAR,Toro Rosso,40,DNF,0
NC,31,Esteban Ocon,OCO,Force India Mercedes,0,DNF,0
NC,2,Stoffel Vandoorne,VAN,McLaren Honda,0,DNF,0
NC,20,Kevin Magnussen,MAG,Haas Ferrari,0,DNF,0
