Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,12,Ayrton Senna,SEN,Lotus Honda,1:25.826
2,5,Nigel Mansell,MAN,Williams Honda,1:25.946
3,6,Nelson Piquet,PIQ,Williams Honda,1:25.997
4,1,Alain Prost,PRO,McLaren TAG,1:26.135
5,19,Teo Fabi,FAB,Benetton Ford,1:27.270
6,28,Gerhard Berger,BER,Ferrari,1:27.280
7,27,Michele Alboreto,ALB,Ferrari,1:28.074
8,7,Riccardo Patrese,PAT,Brabham BMW,1:28.421
9,2,Stefan Johansson,JOH,McLaren TAG,1:28.708
10,18,Eddie Cheever,CHE,Arrows Megatron,1:28.848
11,17,Derek Warwick,WAR,Arrows Megatron,1:28.887
12,20,Thierry Boutsen,BOU,Benetton Ford,1:28.908
13,11,Satoru Nakajima,NAK,Lotus Honda,1:29.579
14,25,Rene Arnoux,ARN,Ligier Megatron,1:29.861
15,8,Andrea de Cesaris,DEC,Brabham BMW,1:30.382
16,9,Martin Brundle,BRU,Zakspeed,1:31.094
17,24,Alessandro Nannini,NAN,Minardi Motori Moderni,1:31.789
18,23,Adrian Campos,CAM,Minardi Motori Moderni,1:31.818
19,10,Christian Danner,DAN,Zakspeed,1:31.903
20,26,Piercarlo Ghinzani,GHI,Ligier Megatron,1:32.248
21,21,Alex Caffi,CAF,Osella Alfa Romeo,1:32.308
22,4,Philippe Streiff,STR,Tyrrell Ford,1:33.155
23,30,Philippe Alliot,ALL,Lola Ford,1:33.846
24,16,Ivan Capelli,CAP,March Ford,1:33.872
25,3,Jonathan Palmer,PAL,Tyrrell Ford,1:34.632
26,14,Pascal Fabre,FAB,AGS Ford,1:36.159
27,22,Gabriele Tarquini,TAR,Osella Alfa Romeo,1:43.446
