Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Honda,1:06.454
2,1,Alain Prost,PRO,McLaren TAG,1:06.877
3,12,Ayrton Senna,SEN,Lotus Honda,1:07.024
4,6,Nelson Piquet,PIQ,Williams Honda,1:07.140
5,20,Thierry Boutsen,BOU,Benetton Ford,1:08.077
6,28,Gerhard Berger,BER,Ferrari,1:08.198
7,19,Teo Fabi,FAB,Benetton Ford,1:08.293
8,27,Michele Alboreto,ALB,Ferrari,1:08.390
9,2,Stefan Johansson,JOH,McLaren TAG,1:08.577
10,17,Derek Warwick,WAR,Arrows Megatron,1:08.800
11,8,Andrea de Cesaris,DEC,Brabham BMW,1:08.949
12,7,Riccardo Patrese,PAT,Brabham BMW,1:08.993
13,25,Rene Arnoux,ARN,Ligier Megatron,1:09.430
14,18,Eddie Cheever,CHE,Arrows Megatron,1:09.828
15,24,Alessandro Nannini,NAN,Minardi Motori Moderni,1:09.868
16,11,Satoru Nakajima,NAK,Lotus Honda,1:10.652
17,26,Piercarlo Ghinzani,GHI,Ligier Megatron,1:10.798
18,9,Martin Brundle,BRU,Zakspeed,1:11.170
19,10,Christian Danner,DAN,Zakspeed,1:11.389
20,21,Alex Caffi,CAF,Osella Alfa Romeo,1:12.167
21,23,Adrian Campos,CAM,Minardi Motori Moderni,1:12.551
22,16,Ivan Capelli,CAP,March Ford,1:12.654
23,30,Philippe Alliot,ALL,Lola Ford,1:13.026
24,3,Jonathan Palmer,PAL,Tyrrell Ford,1:13.443
25,4,Philippe Streiff,STR,Tyrrell Ford,1:13.525
26,14,Pascal Fabre,FAB,AGS Ford,1:14.699
