Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,27,Ayrton Senna,SEN,McLaren Honda,1:15.671
2,28,Gerhard Berger,BER,McLaren Honda,1:16.244
3,2,Nigel Mansell,MAN,Ferrari,1:16.352
4,1,Alain Prost,PRO,Ferrari,1:16.365
5,4,Jean Alesi,ALE,Tyrrell Ford,1:16.837
6,6,Riccardo Patrese,PAT,Williams Renault,1:17.156
7,20,Nelson Piquet,PIQ,Benetton Ford,1:17.173
8,19,Roberto Moreno,MOR,Benetton Ford,1:17.437
9,5,Thierry Boutsen,BOU,Williams Renault,1:17.596
10,23,Pierluigi Martini,MAR,Minardi Ford,1:17.827
11,11,Derek Warwick,WAR,Lotus Lamborghini,1:18.351
12,25,Nicola Larini,LAR,Ligier Ford,1:18.730
13,3,Satoru Nakajima,NAK,Tyrrell Ford,1:18.738
14,16,Ivan Capelli,CAP,Leyton House Judd,1:18.843
15,22,Andrea de Cesaris,DEC,Dallara Ford,1:18.858
16,15,Mauricio Gugelmin,GUG,Leyton House Judd,1:18.860
17,8,Stefano Modena,MOD,Brabham Judd,1:18.886
18,12,Johnny Herbert,HER,Lotus Lamborghini,1:19.091
19,26,Philippe Alliot,ALL,Ligier Ford,1:19.202
20,24,Gianni Morbidelli,MOR,Minardi Ford,1:19.347
21,21,Emanuele Pirro,PIR,Dallara Ford,1:19.476
22,14,Olivier Grouillard,GRO,Osella Ford,1:19.722
23,29,Eric Bernard,BER,Lola Lamborghini,1:19.858
24,30,Aguri Suzuki,SUZ,Lola Lamborghini,1:19.970
25,7,David Brabham,BRA,Brabham Judd,1:20.218
26,17,Gabriele Tarquini,TAR,AGS Ford,1:20.296
27,9,Michele Alboreto,ALB,Arrows Ford,1:20.545
28,18,Yannick Dalmas,DAL,AGS Ford,1:20.570
29,10,Alex Caffi,CAF,Arrows Ford,1:20.609
30,31,Bertrand Gachot,GAC,Coloni Ford,1:23.135
