Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,27,Ayrton Senna,SEN,McLaren Honda,1:20.399
2,28,Gerhard Berger,BER,McLaren Honda,1:20.465
3,1,Alain Prost,PRO,Ferrari,1:20.826
4,19,Alessandro Nannini,NAN,Benetton Ford,1:21.302
5,20,Nelson Piquet,PIQ,Benetton Ford,1:21.568
5,17,Gabriele Tarquini,TAR,AGS Ford,1:29.855
6,5,Thierry Boutsen,BOU,Williams Renault,1:21.599
6,18,Yannick Dalmas,DAL,AGS Ford,1:30.460
7,2,Nigel Mansell,MAN,Ferrari,1:21.641
7,31,Bertrand Gachot,GAC,Coloni Subaru,1:44.185
8,4,Jean Alesi,ALE,Tyrrell Ford,1:21.748
8,34,Claudio Langes,LAN,Euro Brun Judd,1:47.118
9,6,Riccardo Patrese,PAT,Williams Renault,1:22.018
9,39,Bruno Giacomelli,GIA,Life,1:50.253
10,8,Stefano Modena,MOD,Brabham Judd,1:22.660
11,11,Derek Warwick,WAR,Lotus Lamborghini,1:22.673
12,12,Martin Donnelly,DON,Lotus Lamborghini,1:22.703
13,3,Satoru Nakajima,NAK,Tyrrell Ford,1:23.605
14,9,Michele Alboreto,ALB,Arrows Ford,1:23.744
15,14,Olivier Grouillard,GRO,Osella Ford,1:23.779
16,23,Pierluigi Martini,MAR,Minardi Ford,1:23.795
17,26,Philippe Alliot,ALL,Ligier Ford,1:23.899
18,30,Aguri Suzuki,SUZ,Lola Lamborghini,1:23.915
19,21,Emanuele Pirro,PIR,Dallara Ford,1:24.269
20,25,Nicola Larini,LAR,Ligier Ford,1:24.285
21,35,Gregor Foitek,FOI,Onyx Ford,1:24.397
22,36,Jyrki Jarvilehto,JAR,Onyx Ford,1:24.425
23,29,Eric Bernard,BER,Lola Lamborghini,1:24.451
24,16,Ivan Capelli,CAP,Leyton House Judd,1:24.554
25,22,Andrea de Cesaris,DEC,Dallara Ford,1:24.621
26,10,Alex Caffi,CAF,Arrows Ford,1:25.113
27,33,Roberto Moreno,MOR,Euro Brun Judd,1:25.172
28,15,Mauricio Gugelmin,GUG,Leyton House Judd,1:25.712
29,24,Paolo Barilla,BAR,Minardi Ford,1:25.951
30,7,David Brabham,BRA,Brabham Judd,1:26.771
