Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,27,Ayrton Senna,SEN,McLaren Honda,1:22.533
2,1,Alain Prost,PRO,Ferrari,1:22.935
3,28,Gerhard Berger,BER,McLaren Honda,1:22.936
4,2,Nigel Mansell,MAN,Ferrari,1:23.141
5,4,Jean Alesi,ALE,Tyrrell Ford,1:23.526
5,33,Roberto Moreno,MOR,Euro Brun Judd,1:28.703
6,5,Thierry Boutsen,BOU,Williams Renault,1:23.984
6,34,Claudio Langes,LAN,Euro Brun Judd,1:35.061
7,6,Riccardo Patrese,PAT,Williams Renault,1:24.253
7,39,Bruno Giacomelli,GIA,Life,1:55.244
8,19,Alessandro Nannini,NAN,Benetton Ford,1:24.583
9,20,Nelson Piquet,PIQ,Benetton Ford,1:24.699
10,15,Mauricio Gugelmin,GUG,Leyton House Judd,1:25.556
11,12,Martin Donnelly,DON,Lotus Lamborghini,1:25.629
12,11,Derek Warwick,WAR,Lotus Lamborghini,1:25.677
13,29,Eric Bernard,BER,Lola Lamborghini,1:25.927
14,3,Satoru Nakajima,NAK,Tyrrell Ford,1:26.081
15,23,Pierluigi Martini,MAR,Minardi Ford,1:26.330
16,16,Ivan Capelli,CAP,Leyton House Judd,1:26.712
17,8,Stefano Modena,MOD,Brabham Judd,1:26.950
18,30,Aguri Suzuki,SUZ,Lola Lamborghini,1:26.962
19,21,Emanuele Pirro,PIR,Dallara Ford,1:26.964
20,26,Philippe Alliot,ALL,Ligier Ford,1:27.043
21,10,Alex Caffi,CAF,Arrows Ford,1:27.410
22,9,Michele Alboreto,ALB,Arrows Ford,1:27.448
23,14,Olivier Grouillard,GRO,Osella Ford,1:27.541
24,18,Yannick Dalmas,DAL,AGS Ford,1:27.673
25,22,Andrea de Cesaris,DEC,Dallara Ford,1:27.749
26,25,Nicola Larini,LAR,Ligier Ford,1:27.937
27,17,Gabriele Tarquini,TAR,AGS Ford,1:28.107
28,24,Paolo Barilla,BAR,Minardi Ford,1:28.258
29,7,David Brabham,BRA,Brabham Judd,1:28.382
30,31,Bertrand Gachot,GAC,Coloni Ford,1:28.952
