Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,0,Damon Hill,HIL,Williams Renault,1:14.382
2,2,Alain Prost,PRO,Williams Renault,1:14.524
3,25,Martin Brundle,BRU,Ligier Renault,1:16.169
4,26,Mark Blundell,BLU,Ligier Renault,1:16.203
5,8,Ayrton Senna,SEN,McLaren Ford,1:16.264
6,27,Jean Alesi,ALE,Ferrari,1:16.662
7,5,Michael Schumacher,MSC,Benetton Ford,1:16.720
8,14,Rubens Barrichello,BAR,Jordan Hart,1:17.168
9,20,Erik Comas,COM,Larrousse Lamborghini,1:17.170
10,19,Philippe Alliot,ALL,Larrousse Lamborghini,1:17.190
11,29,Karl Wendlinger,WEN,Sauber,1:17.315
12,6,Riccardo Patrese,PAT,Benetton Ford,1:17.362
13,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:17.441
14,28,Gerhard Berger,BER,Ferrari,1:17.456
15,9,Derek Warwick,WAR,Footwork Mugen Honda,1:17.598
16,7,Michael Andretti,AND,McLaren Ford,1:17.659
17,11,Alessandro Zanardi,ZAN,Lotus Ford,1:17.706
18,30,Jyrki Jarvilehto,JAR,Sauber,1:17.812
19,12,Johnny Herbert,HER,Lotus Ford,1:17.862
20,15,Thierry Boutsen,BOU,Jordan Hart,1:17.997
21,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:19.143
22,22,Luca Badoer,BAD,Lola Ferrari,1:19.493
23,23,Christian Fittipaldi,FIT,Minardi Ford,1:19.519
24,24,Fabrizio Barbazza,BAR,Minardi Ford,1:19.691
25,4,Andrea de Cesaris,DEC,Tyrrell Yamaha,1:19.856
26,21,Michele Alboreto,ALB,Lola Ferrari,1:20.130
