Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Alain Prost,PRO,Williams Renault,1:18.987
2,0,Damon Hill,HIL,Williams Renault,1:19.491
3,5,Michael Schumacher,MSC,Benetton Ford,1:20.808
4,6,Riccardo Patrese,PAT,Benetton Ford,1:20.948
5,28,Gerhard Berger,BER,Ferrari,1:21.278
6,27,Jean Alesi,ALE,Ferrari,1:21.414
7,25,Martin Brundle,BRU,Ligier Renault,1:21.603
8,8,Ayrton Senna,SEN,McLaren Ford,1:21.706
9,29,Karl Wendlinger,WEN,Sauber,1:21.813
10,26,Mark Blundell,BLU,Ligier Renault,1:22.097
11,30,Jyrki Jarvilehto,JAR,Sauber,1:22.198
12,7,Michael Andretti,AND,McLaren Ford,1:22.229
13,20,Erik Comas,COM,Larrousse Lamborghini,1:22.263
14,14,Rubens Barrichello,BAR,Jordan Hart,1:22.509
15,19,Philippe Alliot,ALL,Larrousse Lamborghini,1:22.819
16,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:22.891
17,23,Christian Fittipaldi,FIT,Minardi Ford,1:23.119
18,9,Derek Warwick,WAR,Footwork Mugen Honda,1:23.185
19,4,Andrea de Cesaris,DEC,Tyrrell Yamaha,1:23.185
20,12,Johnny Herbert,HER,Lotus Ford,1:23.223
21,11,Alessandro Zanardi,ZAN,Lotus Ford,1:23.240
22,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:23.824
23,24,Fabrizio Barbazza,BAR,Minardi Ford,1:23.946
24,15,Thierry Boutsen,BOU,Jordan Hart,1:23.960
25,22,Luca Badoer,BAD,Lola Ferrari,1:24.357
26,21,Michele Alboreto,ALB,Lola Ferrari,1:24.382
