Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Alain Prost,PRO,Williams Renault,1:20.557
2,5,Michael Schumacher,MSC,Benetton Ford,1:21.190
3,8,Ayrton Senna,SEN,McLaren Ford,1:21.552
4,0,Damon Hill,HIL,Williams Renault,1:21.825
5,27,Jean Alesi,ALE,Ferrari,1:21.948
6,6,Riccardo Patrese,PAT,Benetton Ford,1:22.117
7,28,Gerhard Berger,BER,Ferrari,1:22.394
8,29,Karl Wendlinger,WEN,Sauber,1:22.477
9,7,Michael Andretti,AND,McLaren Ford,1:22.994
10,20,Erik Comas,COM,Larrousse Lamborghini,1:23.246
11,30,Jyrki Jarvilehto,JAR,Sauber,1:23.715
12,9,Derek Warwick,WAR,Footwork Mugen Honda,1:23.749
13,25,Martin Brundle,BRU,Ligier Renault,1:23.786
14,12,Johnny Herbert,HER,Lotus Ford,1:23.812
15,19,Philippe Alliot,ALL,Larrousse Lamborghini,1:23.907
16,14,Rubens Barrichello,BAR,Jordan Hart,1:24.086
17,23,Christian Fittipaldi,FIT,Minardi Ford,1:24.298
18,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:24.524
19,4,Andrea de Cesaris,DEC,Tyrrell Yamaha,1:24.544
20,11,Alessandro Zanardi,ZAN,Lotus Ford,1:24.888
21,26,Mark Blundell,BLU,Ligier Renault,1:24.972
22,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:25.236
23,15,Thierry Boutsen,BOU,Jordan Hart,1:25.267
24,21,Michele Alboreto,ALB,Lola Ferrari,1:26.444
25,24,Fabrizio Barbazza,BAR,Minardi Ford,1:26.582
26,22,Luca Badoer,BAD,Lola Ferrari,1:29.613
