Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,8,Ayrton Senna,SEN,McLaren Ford,1:13.371
2,2,Alain Prost,PRO,Williams Renault,1:13.807
3,0,Damon Hill,HIL,Williams Renault,1:13.826
4,5,Michael Schumacher,MSC,Benetton Ford,1:14.098
5,7,Mika Hakkinen,HAK,McLaren Ford,1:14.106
6,28,Gerhard Berger,BER,Ferrari,1:14.194
7,27,Jean Alesi,ALE,Ferrari,1:15.332
8,25,Martin Brundle,BRU,Ligier Renault,1:16.022
9,6,Riccardo Patrese,PAT,Benetton Ford,1:16.077
10,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:16.079
11,29,Karl Wendlinger,WEN,Sauber,1:16.106
12,30,Jyrki Jarvilehto,JAR,Sauber,1:16.286
13,14,Rubens Barrichello,BAR,Jordan Hart,1:16.459
14,26,Mark Blundell,BLU,Ligier Renault,1:16.469
15,4,Andrea de Cesaris,DEC,Tyrrell Yamaha,1:16.892
16,24,Pierluigi Martini,MAR,Minardi Ford,1:16.905
17,9,Derek Warwick,WAR,Footwork Mugen Honda,1:16.919
18,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:17.018
19,15,Eddie Irvine,IRV,Jordan Hart,1:17.341
20,12,Johnny Herbert,HER,Lotus Ford,1:17.450
21,20,Erik Comas,COM,Larrousse Lamborghini,1:17.750
22,23,Jean-Marc Gounon,GOU,Minardi Ford,1:17.754
23,11,Pedro Lamy,LAM,Lotus Ford,1:19.369
24,19,Toshio Suzuki,SUZ,Larrousse Lamborghini,1:21.793
