Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Alain Prost,PRO,Williams Renault,1:21.179
2,0,Damon Hill,HIL,Williams Renault,1:21.491
3,27,Jean Alesi,ALE,Ferrari,1:21.986
4,8,Ayrton Senna,SEN,McLaren Ford,1:22.633
5,5,Michael Schumacher,MSC,Benetton Ford,1:22.910
6,28,Gerhard Berger,BER,Ferrari,1:23.150
7,12,Johnny Herbert,HER,Lotus Ford,1:23.769
8,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:23.856
9,7,Michael Andretti,AND,McLaren Ford,1:23.899
10,6,Riccardo Patrese,PAT,Benetton Ford,1:23.918
11,9,Derek Warwick,WAR,Footwork Mugen Honda,1:24.048
12,25,Martin Brundle,BRU,Ligier Renault,1:24.137
13,30,Jyrki Jarvilehto,JAR,Sauber,1:24.298
14,26,Mark Blundell,BLU,Ligier Renault,1:24.344
15,29,Karl Wendlinger,WEN,Sauber,1:24.473
16,19,Philippe Alliot,ALL,Larrousse Lamborghini,1:24.807
17,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:24.886
18,4,Andrea de Cesaris,DEC,Tyrrell Yamaha,1:24.916
19,14,Rubens Barrichello,BAR,Jordan Hart,1:25.144
20,20,Erik Comas,COM,Larrousse Lamborghini,1:25.257
21,21,Michele Alboreto,ALB,Lola Ferrari,1:25.368
22,24,Pierluigi Martini,MAR,Minardi Ford,1:25.478
23,15,Marco Apicella,API,Jordan Hart,1:25.672
24,23,Christian Fittipaldi,FIT,Minardi Ford,1:25.699
25,22,Luca Badoer,BAD,Lola Ferrari,1:25.957
26,11,Pedro Lamy,LAM,Lotus Ford,1:26.324
