Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,8,Mika Hakkinen,HAK,McLaren Mercedes,1:48.682,11
2,7,David Coulthard,COU,McLaren Mercedes,1:48.845,12
3,9,Damon Hill,HIL,Jordan Mugen Honda,1:49.728,11
4,3,Michael Schumacher,MSC,Ferrari,1:50.027,12
5,4,Eddie Irvine,IRV,Ferrari,1:50.189,12
6,1,Jacques Villeneuve,VIL,Williams Mecachrome,1:50.204,12
7,5,Giancarlo Fisichella,FIS,Benetton Playlife,1:50.462,12
8,10,Ralf Schumacher,RSC,Jordan Mugen Honda,1:50.501,12
9,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,1:50.686,11
10,14,Jean Alesi,ALE,Sauber Petronas,1:51.189,11
11,6,Alexander Wurz,WUR,Benetton Playlife,1:51.648,12
12,15,Johnny Herbert,HER,Sauber Petronas,1:51.851,11
13,12,Jarno Trulli,TRU,Prost Peugeot,1:52.572,10
14,18,Rubens Barrichello,BAR,Stewart Ford,1:52.670,12
15,11,Olivier Panis,PAN,Prost Peugeot,1:52.784,12
16,16,Pedro Diniz,DIN,Arrows,1:53.037,12
17,19,Jos Verstappen,VER,Stewart Ford,1:53.149,12
18,17,Mika Salo,SAL,Arrows,1:53.207,8
19,21,Toranosuke Takagi,TAK,Tyrrell Ford,1:53.237,12
20,20,Ricardo Rosset,ROS,Tyrrell Ford,1:54.850,11
21,22,Shinji Nakano,NAK,Minardi Ford,1:55.084,12
22,23,Esteban Tuero,TUE,Minardi Ford,1:55.520,12
