Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Michael Schumacher,MSC,Ferrari,1:36.293,8
2,8,Mika Hakkinen,HAK,McLaren Mercedes,1:36.471,11
3,7,David Coulthard,COU,McLaren Mercedes,1:37.496,10
4,4,Eddie Irvine,IRV,Ferrari,1:38.197,8
5,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,1:38.272,11
6,1,Jacques Villeneuve,VIL,Williams Mecachrome,1:38.448,12
7,10,Ralf Schumacher,RSC,Jordan Mugen Honda,1:38.461,12
8,9,Damon Hill,HIL,Jordan Mugen Honda,1:38.603,12
9,6,Alexander Wurz,WUR,Benetton Playlife,1:38.959,12
10,5,Giancarlo Fisichella,FIS,Benetton Playlife,1:39.080,11
11,15,Johnny Herbert,HER,Sauber Petronas,1:39.234,12
12,14,Jean Alesi,ALE,Sauber Petronas,1:39.448,12
13,11,Olivier Panis,PAN,Prost Peugeot,1:40.037,12
14,12,Jarno Trulli,TRU,Prost Peugeot,1:40.111,12
15,17,Mika Salo,SAL,Arrows,1:40.387,12
16,18,Rubens Barrichello,BAR,Stewart Ford,1:40.502,12
17,21,Toranosuke Takagi,TAK,Tyrrell Ford,1:40.619,11
18,16,Pedro Diniz,DIN,Arrows,1:40.687,12
19,19,Jos Verstappen,VER,Stewart Ford,1:40.943,11
20,22,Shinji Nakano,NAK,Minardi Ford,1:41.315,12
21,23,Esteban Tuero,TUE,Minardi Ford,1:42.358,12
NC,20,Ricardo Rosset,ROS,Tyrrell Ford,1:43.259,9
