Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Jacques Villeneuve,VIL,Williams Renault,1:16.004,9
2,5,Michael Schumacher,MSC,Ferrari,1:16.594,11
3,8,Gerhard Berger,BER,Benetton Renault,1:16.644,10
4,9,Mika Hakkinen,HAK,McLaren Mercedes,1:16.692,10
5,14,Olivier Panis,PAN,Prost Mugen Honda,1:16.756,12
6,7,Jean Alesi,ALE,Benetton Renault,1:16.757,10
7,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:16.912,10
8,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:16.924,10
9,1,Damon Hill,HIL,Arrows Yamaha,1:17.090,12
10,11,Ralf Schumacher,RSC,Jordan Peugeot,1:17.175,11
11,22,Rubens Barrichello,BAR,Stewart Ford,1:17.259,12
12,10,David Coulthard,COU,McLaren Mercedes,1:17.262,11
13,16,Johnny Herbert,HER,Sauber Petronas,1:17.409,12
14,6,Eddie Irvine,IRV,Ferrari,1:17.527,11
15,15,Shinji Nakano,NAK,Prost Mugen Honda,1:17.999,10
16,2,Pedro Diniz,DIN,Arrows Yamaha,1:18.095,12
17,21,Jarno Trulli,TRU,Minardi Hart,1:18.336,12
18,20,Ukyo Katayama,KAT,Minardi Hart,1:18.557,11
19,17,Nicola Larini,LAR,Sauber Petronas,1:18.644,11
20,23,Jan Magnussen,MAG,Stewart Ford,1:18.773,12
21,18,Jos Verstappen,VER,Tyrrell Ford,1:18.885,11
22,19,Mika Salo,SAL,Tyrrell Ford,1:19.274,9
