Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Jacques Villeneuve,VIL,Williams Renault,1:49.450,11
2,7,Jean Alesi,ALE,Benetton Renault,1:49.759,11
3,5,Michael Schumacher,MSC,Ferrari,1:50.293,11
4,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:50.470,12
5,9,Mika Hakkinen,HAK,McLaren Mercedes,1:50.503,11
6,11,Ralf Schumacher,RSC,Jordan Peugeot,1:50.520,10
7,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:50.656,11
8,2,Pedro Diniz,DIN,Arrows Yamaha,1:50.853,12
9,1,Damon Hill,HIL,Arrows Yamaha,1:50.970,12
10,10,David Coulthard,COU,McLaren Mercedes,1:51.410,9
11,16,Johnny Herbert,HER,Sauber Petronas,1:51.725,11
12,22,Rubens Barrichello,BAR,Stewart Ford,1:51.916,12
13,17,Gianni Morbidelli,MOR,Sauber Petronas,1:52.094,7
14,14,Jarno Trulli,TRU,Prost Mugen Honda,1:52.274,12
15,8,Gerhard Berger,BER,Benetton Renault,1:52.391,11
16,15,Shinji Nakano,NAK,Prost Mugen Honda,1:52.749,11
17,6,Eddie Irvine,IRV,Ferrari,1:52.793,11
18,23,Jan Magnussen,MAG,Stewart Ford,1:52.886,11
19,19,Mika Salo,SAL,Tyrrell Ford,1:52.897,11
20,20,Ukyo Katayama,KAT,Minardi Hart,1:53.544,10
21,18,Jos Verstappen,VER,Tyrrell Ford,1:53.725,7
22,21,Tarso Marques,MAR,Minardi Hart,1:54.505,12
