Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,1,Ayrton Senna,SEN,McLaren Honda,1:16.665
2,2,Alain Prost,PRO,McLaren Honda,1:17.403
3,23,Pierluigi Martini,MAR,Minardi Ford,1:17.623
4,19,Alessandro Nannini,NAN,Benetton Ford,1:17.762
5,5,Thierry Boutsen,BOU,Williams Renault,1:17.791
5,36,Stefan Johansson,JOH,Onyx Ford,1:19.539
6,6,Riccardo Patrese,PAT,Williams Renault,1:17.827
6,29,Michele Alboreto,ALB,Lola Lamborghini,1:20.129
7,27,Nigel Mansell,MAN,Ferrari,1:18.313
7,34,Bernd Schneider,SCH,Zakspeed Yamaha,1:20.179
8,8,Stefano Modena,MOD,Brabham Judd,1:18.750
8,31,Roberto Moreno,MOR,Coloni Ford,1:20.183
9,22,Andrea de Cesaris,DEC,Dallara Ford,1:18.828
9,33,Oscar Larrauri,LAR,Euro Brun Judd,1:20.750
10,21,Alex Caffi,CAF,Dallara Ford,1:18.857
10,35,Aguri Suzuki,SUZ,Zakspeed Yamaha,1:21.012
11,17,Nicola Larini,LAR,Osella Ford,1:19.110
11,41,Yannick Dalmas,DAL,AGS Ford,1:21.022
12,7,Martin Brundle,BRU,Brabham Judd,1:19.136
12,40,Gabriele Tarquini,TAR,AGS Ford,1:21.600
13,20,Emanuele Pirro,PIR,Benetton Ford,1:19.217
13,32,Enrico Bertaggia,BER,Coloni Ford,1:24.081
14,28,Gerhard Berger,BER,Ferrari,1:19.238
15,4,Jean Alesi,ALE,Tyrrell Ford,1:19.259
16,16,Ivan Capelli,CAP,March Judd,1:19.269
17,37,Jyrki Jarvilehto,JAR,Onyx Ford,1:19.309
18,11,Nelson Piquet,PIQ,Lotus Judd,1:19.392
19,30,Philippe Alliot,ALL,Lola Lamborghini,1:19.568
20,9,Derek Warwick,WAR,Arrows Ford,1:19.599
21,18,Piercarlo Ghinzani,GHI,Osella Ford,1:19.691
22,10,Eddie Cheever,CHE,Arrows Ford,1:19.922
23,12,Satoru Nakajima,NAK,Lotus Judd,1:20.066
24,26,Olivier Grouillard,GRO,Ligier Ford,1:20.073
25,15,Mauricio Gugelmin,GUG,March Judd,1:20.191
26,25,Rene Arnoux,ARN,Ligier Ford,1:20.391
27,3,Jonathan Palmer,PAL,Tyrrell Ford,1:20.428
28,24,Luis Perez-Sala,PER,Minardi Ford,1:20.633
29,39,Bertrand Gachot,GAC,Rial Ford,1:22.267
30,38,Pierre Henri Raphanel,RAP,Rial Ford,1:22.305
