Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Alain Prost,PRO,McLaren Honda,1:07.203
2,1,Ayrton Senna,SEN,McLaren Honda,1:07.228
3,27,Nigel Mansell,MAN,Ferrari,1:07.455
4,19,Alessandro Nannini,NAN,Benetton Ford,1:08.137
5,5,Thierry Boutsen,BOU,Williams Renault,1:08.211
5,17,Nicola Larini,LAR,Osella Ford,1:09.989
6,28,Gerhard Berger,BER,Ferrari,1:08.233
6,7,Martin Brundle,BRU,Brabham Judd,1:10.181
7,30,Philippe Alliot,ALL,Lola Lamborghini,1:08.561
7,39,Volker Weidler,WEI,Rial Ford,1:11.059
8,6,Riccardo Patrese,PAT,Williams Renault,1:08.993
8,34,Bernd Schneider,SCH,Zakspeed Yamaha,1:11.098
9,3,Jonathan Palmer,PAL,Tyrrell Ford,1:09.026
9,18,Piercarlo Ghinzani,GHI,Osella Ford,1:11.528
10,15,Mauricio Gugelmin,GUG,March Judd,1:09.036
10,32,Pierre Henri Raphanel,RAP,Coloni Ford,1:11.953
11,37,Bertrand Gachot,GAC,Onyx Ford,1:09.122
11,35,Aguri Suzuki,SUZ,Zakspeed Yamaha,1:12.031
12,16,Ivan Capelli,CAP,March Judd,1:09.283
12,33,Gregor Foitek,FOI,Euro Brun Judd,1:12.179
13,36,Stefan Johansson,JOH,Onyx Ford,1:09.299
13,41,Joachim Winkelhock,WIN,AGS Ford,1:13.173
14,9,Martin Donnelly,DON,Arrows Ford,1:09.524
15,29,Eric Bernard,BER,Lola Lamborghini,1:09.596
16,4,Jean Alesi,ALE,Tyrrell Ford,1:09.668
17,26,Olivier Grouillard,GRO,Ligier Ford,1:09.717
18,25,Rene Arnoux,ARN,Ligier Ford,1:10.077
19,12,Satoru Nakajima,NAK,Lotus Judd,1:10.119
20,11,Nelson Piquet,PIQ,Lotus Judd,1:10.135
21,40,Gabriele Tarquini,TAR,AGS Ford,1:10.216
22,8,Stefano Modena,MOD,Brabham Judd,1:10.254
23,23,Pierluigi Martini,MAR,Minardi Ford,1:10.267
24,20,Emanuele Pirro,PIR,Benetton Ford,1:10.292
25,10,Eddie Cheever,CHE,Arrows Ford,1:10.372
26,21,Alex Caffi,CAF,Dallara Ford,1:10.468
27,22,Andrea de Cesaris,DEC,Dallara Ford,1:10.591
28,24,Luis Perez-Sala,PER,Minardi Ford,1:11.079
29,38,Christian Danner,DAN,Rial Ford,1:11.178
30,31,Roberto Moreno,MOR,Coloni Ford,1:11.372
