Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Alain Prost,PRO,McLaren Honda,1:20.973
2,1,Ayrton Senna,SEN,McLaren Honda,1:21.049
3,6,Riccardo Patrese,PAT,Williams Renault,1:21.783
4,28,Gerhard Berger,BER,Ferrari,1:21.946
5,27,Nigel Mansell,MAN,Ferrari,1:22.165
5,7,Martin Brundle,BRU,Brabham Judd,1:25.275
6,5,Thierry Boutsen,BOU,Williams Renault,1:22.311
6,37,Bertrand Gachot,GAC,Onyx Ford,1:25.952
7,8,Stefano Modena,MOD,Brabham Judd,1:22.612
7,33,Gregor Foitek,FOI,Euro Brun Judd,1:26.365
8,21,Alex Caffi,CAF,Dallara Ford,1:22.901
8,18,Piercarlo Ghinzani,GHI,Osella Ford,1:26.807
9,22,Andrea de Cesaris,DEC,Dallara Ford,1:23.050
9,34,Bernd Schneider,SCH,Zakspeed Yamaha,1:27.073
10,30,Philippe Alliot,ALL,Lola Lamborghini,1:23.059
10,41,Joachim Winkelhock,WIN,AGS Ford,1:28.545
11,23,Pierluigi Martini,MAR,Minardi Ford,1:23.252
11,39,Volker Weidler,WEI,Rial Ford,1:31.455
12,9,Derek Warwick,WAR,Arrows Ford,1:23.348
12,35,Aguri Suzuki,SUZ,Zakspeed Yamaha,1:53.327
13,19,Alessandro Nannini,NAN,Benetton Ford,1:23.542
13,32,Pierre Henri Raphanel,RAP,Coloni Ford,1:59.693
14,3,Jonathan Palmer,PAL,Tyrrell Ford,1:23.665
15,17,Nicola Larini,LAR,Osella Ford,1:23.799
16,10,Eddie Cheever,CHE,Arrows Ford,1:23.828
17,15,Mauricio Gugelmin,GUG,March Judd,1:23.863
18,36,Stefan Johansson,JOH,Onyx Ford,1:23.979
19,11,Nelson Piquet,PIQ,Lotus Judd,1:24.029
20,4,Michele Alboreto,ALB,Tyrrell Ford,1:24.296
21,16,Ivan Capelli,CAP,March Judd,1:24.406
22,25,Rene Arnoux,ARN,Ligier Ford,1:24.558
23,38,Christian Danner,DAN,Rial Ford,1:24.727
24,24,Luis Perez-Sala,PER,Minardi Ford,1:24.786
25,40,Gabriele Tarquini,TAR,AGS Ford,1:24.793
26,31,Roberto Moreno,MOR,Coloni Ford,1:25.037
27,12,Satoru Nakajima,NAK,Lotus Judd,1:25.051
28,29,Yannick Dalmas,DAL,Lola Lamborghini,1:25.161
29,20,Johnny Herbert,HER,Benetton Ford,1:25.282
30,26,Olivier Grouillard,GRO,Ligier Ford,1:25.289
