Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,1,Ayrton Senna,SEN,McLaren Honda,1:22.308
2,2,Alain Prost,PRO,McLaren Honda,1:23.456
3,5,Thierry Boutsen,BOU,Williams Renault,1:24.332
4,7,Martin Brundle,BRU,Brabham Judd,1:27.774
5,27,Nigel Mansell,MAN,Ferrari,1:24.735
5,18,Piercarlo Ghinzani,GHI,Osella Ford,1:27.795
6,9,Derek Warwick,WAR,Arrows Ford,1:24.791
6,36,Stefan Johansson,JOH,Onyx Ford,1:27.821
7,6,Riccardo Patrese,PAT,Williams Renault,1:25.021
7,17,Nicola Larini,LAR,Osella Ford,1:28.555
8,8,Stefano Modena,MOD,Brabham Judd,1:25.086
8,34,Bernd Schneider,SCH,Zakspeed Yamaha,1:28.610
9,21,Alex Caffi,CAF,Dallara Ford,1:25.481
9,37,Bertrand Gachot,GAC,Onyx Ford,1:28.897
10,22,Andrea de Cesaris,DEC,Dallara Ford,1:25.515
10,33,Gregor Foitek,FOI,Euro Brun Judd,1:29.423
11,23,Pierluigi Martini,MAR,Minardi Ford,1:26.288
11,39,Volker Weidler,WEI,Rial Ford,1:29.498
12,4,Michele Alboreto,ALB,Tyrrell Ford,1:26.388
12,35,Aguri Suzuki,SUZ,Zakspeed Yamaha,1:30.528
13,40,Gabriele Tarquini,TAR,AGS Ford,1:26.422
13,41,Joachim Winkelhock,WIN,AGS Ford,1:32.274
14,15,Mauricio Gugelmin,GUG,March Judd,1:26.522
15,19,Alessandro Nannini,NAN,Benetton Ford,1:26.599
16,26,Olivier Grouillard,GRO,Ligier Ford,1:26.792
17,30,Philippe Alliot,ALL,Lola Lamborghini,1:26.857
18,32,Pierre Henri Raphanel,RAP,Coloni Ford,1:27.011
19,11,Nelson Piquet,PIQ,Lotus Judd,1:27.046
20,10,Eddie Cheever,CHE,Arrows Ford,1:27.117
21,25,Rene Arnoux,ARN,Ligier Ford,1:27.182
22,16,Ivan Capelli,CAP,March Judd,1:27.302
23,3,Jonathan Palmer,PAL,Tyrrell Ford,1:27.452
24,20,Johnny Herbert,HER,Benetton Ford,1:27.706
25,31,Roberto Moreno,MOR,Coloni Ford,1:27.721
26,24,Luis Perez-Sala,PER,Minardi Ford,1:27.786
27,38,Christian Danner,DAN,Rial Ford,1:27.910
28,29,Yannick Dalmas,DAL,Lola Lamborghini,1:27.946
29,12,Satoru Nakajima,NAK,Lotus Judd,1:28.419
