Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,6,Riccardo Patrese,PAT,Williams Renault,1:14.559
2,27,Alain Prost,PRO,Ferrari,1:14.789
3,1,Ayrton Senna,SEN,McLaren Honda,1:14.857
4,5,Nigel Mansell,MAN,Williams Renault,1:14.895
5,2,Gerhard Berger,BER,McLaren Honda,1:15.376
5,21,Emanuele Pirro,PIR,Dallara Judd,1:20.539
6,28,Jean Alesi,ALE,Ferrari,1:15.877
6,34,Nicola Larini,LAR,Lambo Lamborghini,1:20.628
7,20,Nelson Piquet,PIQ,Benetton Ford,1:16.816
7,35,Eric van de Poele,VAN,Lambo Lamborghini,1:21.304
8,19,Roberto Moreno,MOR,Benetton Ford,1:16.961
8,31,Pedro Chaves,CHA,Coloni Ford,1:22.229
9,15,Mauricio Gugelmin,GUG,Leyton House Ilmor,1:17.015
10,24,Gianni Morbidelli,MOR,Minardi Ferrari,1:17.020
11,4,Stefano Modena,MOD,Tyrrell Honda,1:17.114
12,23,Pierluigi Martini,MAR,Minardi Ferrari,1:17.149
13,33,Andrea de Cesaris,DEC,Jordan Ford,1:17.163
14,26,Erik Comas,COM,Ligier Lamborghini,1:17.504
15,16,Ivan Capelli,CAP,Leyton House Ilmor,1:17.533
16,25,Thierry Boutsen,BOU,Ligier Lamborghini,1:17.775
17,8,Mark Blundell,BLU,Brabham Yamaha,1:17.836
18,3,Satoru Nakajima,NAK,Tyrrell Honda,1:18.144
19,32,Bertrand Gachot,GAC,Jordan Ford,1:18.150
20,12,Johnny Herbert,HER,Lotus Judd,1:18.185
21,14,Olivier Grouillard,GRO,Fondmetal Ford,1:18.210
22,30,Aguri Suzuki,SUZ,Lola Ford,1:18.224
23,29,Eric Bernard,BER,Lola Ford,1:18.540
24,7,Martin Brundle,BRU,Brabham Yamaha,1:18.826
25,9,Michele Alboreto,ALB,Footwork Porsche,1:18.846
26,22,Jyrki Jarvilehto,JAR,Dallara Judd,1:19.267
27,11,Mika Hakkinen,HAK,Lotus Judd,1:19.491
28,18,Fabrizio Barbazza,BAR,AGS Ford,1:20.110
29,17,Gabriele Tarquini,TAR,AGS Ford,1:20.262
30,10,Stefan Johansson,JOH,Footwork Porsche,1:21.000
