Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Renault,1:37.087
2,1,Ayrton Senna,SEN,McLaren Honda,1:37.274
3,2,Gerhard Berger,BER,McLaren Honda,1:37.393
4,6,Riccardo Patrese,PAT,Williams Renault,1:37.435
5,27,Alain Prost,PRO,Ferrari,1:39.034
5,14,Olivier Grouillard,GRO,Fondmetal Ford,1:44.645
6,28,Jean Alesi,ALE,Ferrari,1:39.042
6,10,Alex Caffi,CAF,Footwork Porsche,1:45.282
7,33,Andrea de Cesaris,DEC,Jordan Ford,1:40.239
7,18,Fabrizio Barbazza,BAR,AGS Ford,1:46.604
8,20,Nelson Piquet,PIQ,Benetton Ford,1:40.560
8,31,Pedro Chaves,CHA,Coloni Ford,1:47.546
9,19,Roberto Moreno,MOR,Benetton Ford,1:40.957
10,23,Pierluigi Martini,MAR,Minardi Ferrari,1:40.998
11,32,Bertrand Gachot,GAC,Jordan Ford,1:41.308
12,16,Ivan Capelli,CAP,Leyton House Ilmor,1:41.330
13,3,Satoru Nakajima,NAK,Tyrrell Honda,1:41.390
14,4,Stefano Modena,MOD,Tyrrell Honda,1:41.566
15,7,Martin Brundle,BRU,Brabham Yamaha,1:41.615
16,15,Mauricio Gugelmin,GUG,Leyton House Ilmor,1:41.735
17,25,Thierry Boutsen,BOU,Ligier Lamborghini,1:41.823
18,21,Emanuele Pirro,PIR,Dallara Judd,1:42.021
19,24,Gianni Morbidelli,MOR,Minardi Ferrari,1:42.058
20,22,Jyrki Jarvilehto,JAR,Dallara Judd,1:42.171
21,8,Mark Blundell,BLU,Brabham Yamaha,1:42.216
22,30,Aguri Suzuki,SUZ,Lola Ford,1:42.474
23,11,Mika Hakkinen,HAK,Lotus Judd,1:42.726
24,34,Nicola Larini,LAR,Lambo Lamborghini,1:43.035
25,29,Eric Bernard,BER,Lola Ford,1:43.321
26,26,Erik Comas,COM,Ligier Lamborghini,1:43.364
27,9,Michele Alboreto,ALB,Footwork Porsche,1:43.409
28,12,Michael Bartels,BAR,Lotus Judd,1:43.624
29,17,Gabriele Tarquini,TAR,AGS Ford,1:43.787
30,35,Eric van de Poele,VAN,Lambo Lamborghini,1:44.207
