Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,1,Ayrton Senna,SEN,McLaren Honda,1:14.041
2,2,Gerhard Berger,BER,McLaren Honda,1:14.385
3,5,Nigel Mansell,MAN,Williams Renault,1:14.822
4,6,Riccardo Patrese,PAT,Williams Renault,1:15.057
5,20,Nelson Piquet,PIQ,Benetton Ford,1:15.291
5,14,Gabriele Tarquini,TAR,Fondmetal Ford,1:18.184
6,19,Michael Schumacher,MSC,Benetton Ford,1:15.508
6,31,Naoki Hattori,HAT,Coloni Ford,1:22.852
7,28,Jean Alesi,ALE,Ferrari,1:15.545
8,27,Gianni Morbidelli,MOR,Ferrari,1:16.203
9,4,Stefano Modena,MOD,Tyrrell Honda,1:16.253
10,23,Pierluigi Martini,MAR,Minardi Ferrari,1:16.359
11,22,Jyrki Jarvilehto,JAR,Dallara Judd,1:16.871
12,33,Andrea de Cesaris,DEC,Jordan Ford,1:17.050
13,21,Emanuele Pirro,PIR,Dallara Judd,1:17.342
14,15,Mauricio Gugelmin,GUG,Leyton House Ilmor,1:17.344
15,9,Michele Alboreto,ALB,Footwork Porsche,1:17.355
16,32,Alessandro Zanardi,ZAN,Jordan Ford,1:17.362
17,8,Mark Blundell,BLU,Brabham Yamaha,1:17.365
18,24,Roberto Moreno,MOR,Minardi Ferrari,1:17.639
19,34,Nicola Larini,LAR,Lambo Lamborghini,1:17.936
20,25,Thierry Boutsen,BOU,Ligier Lamborghini,1:17.969
21,12,Johnny Herbert,HER,Lotus Judd,1:18.091
22,26,Erik Comas,COM,Ligier Lamborghini,1:18.112
23,10,Alex Caffi,CAF,Footwork Porsche,1:18.157
24,3,Satoru Nakajima,NAK,Tyrrell Honda,1:18.216
25,11,Mika Hakkinen,HAK,Lotus Judd,1:18.271
26,16,Karl Wendlinger,WEN,Leyton House Ilmor,1:18.282
27,30,Aguri Suzuki,SUZ,Lola Ford,1:18.393
28,7,Martin Brundle,BRU,Brabham Yamaha,1:18.855
29,35,Eric van de Poele,VAN,Lambo Lamborghini,1:19.000
30,29,Bertrand Gachot,GAC,Lola Ford,1:19.274
