Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,1,Ayrton Senna,SEN,McLaren Honda,1:20.344
2,4,Stefano Modena,MOD,Tyrrell Honda,1:20.809
3,6,Riccardo Patrese,PAT,Williams Renault,1:20.973
4,20,Nelson Piquet,PIQ,Benetton Ford,1:21.159
5,5,Nigel Mansell,MAN,Williams Renault,1:21.205
5,34,Nicola Larini,LAR,Lambo Lamborghini,1:25.893
6,2,Gerhard Berger,BER,McLaren Honda,1:21.222
6,35,Eric van de Poele,VAN,Lambo Lamborghini,1:26.282
7,27,Alain Prost,PRO,Ferrari,1:21.455
7,31,Pedro Chaves,CHA,Coloni Ford,1:27.389
8,19,Roberto Moreno,MOR,Benetton Ford,1:21.804
8,14,Olivier Grouillard,GRO,Fondmetal Ford,1:27.759
9,28,Jean Alesi,ALE,Ferrari,1:21.910
10,33,Andrea de Cesaris,DEC,Jordan Ford,1:22.764
11,3,Satoru Nakajima,NAK,Tyrrell Honda,1:22.972
12,21,Emanuele Pirro,PIR,Dallara Judd,1:23.022
13,22,Jyrki Jarvilehto,JAR,Dallara Judd,1:23.023
14,23,Pierluigi Martini,MAR,Minardi Ferrari,1:23.064
15,15,Mauricio Gugelmin,GUG,Leyton House Ilmor,1:23.394
16,25,Thierry Boutsen,BOU,Ligier Lamborghini,1:23.431
17,24,Gianni Morbidelli,MOR,Minardi Ferrari,1:23.584
18,16,Ivan Capelli,CAP,Leyton House Ilmor,1:23.642
19,30,Aguri Suzuki,SUZ,Lola Ford,1:23.898
20,17,Gabriele Tarquini,TAR,AGS Ford,1:23.909
21,29,Eric Bernard,BER,Lola Ford,1:24.079
22,8,Mark Blundell,BLU,Brabham Yamaha,1:24.109
23,26,Erik Comas,COM,Ligier Lamborghini,1:24.151
24,32,Bertrand Gachot,GAC,Jordan Ford,1:24.208
25,9,Michele Alboreto,ALB,Footwork Porsche,1:24.606
26,11,Mika Hakkinen,HAK,Lotus Judd,1:24.829
27,7,Martin Brundle,BRU,Brabham Yamaha,1:24.840
28,12,Julian Bailey,BAI,Lotus Judd,1:26.995
29,18,Fabrizio Barbazza,BAR,AGS Ford,1:27.079
