Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,2,Alberto Ascari,ASC,Ferrari,90.0,2:53:35.800,8
2,6,Nino Farina,FAR,Ferrari,90.0,+10.400s,6
3,16,Felice Bonetto,BON,Maserati,,SHC,2
3,16,Jose Froilan Gonzalez,GON,Maserati,89.0,+1 lap,2
4,8,Mike Hawthorn,HAW,Ferrari,89.0,+1 lap,3
5,18,Toulo de Graffenried,DEG,Maserati,88.0,+2 laps,2
6,24,Maurice Trintignant,TRI,Gordini,87.0,+3 laps,0
7,10,Louis Rosier,ROS,Ferrari,86.0,+4 laps,0
8,36,Peter Collins,COL,HWM Alta,84.0,+6 laps,0
9,34,Stirling Moss,MOS,Connaught Lea Francis,83.0,+7 laps,0
NC,4,Luigi Villoresi,VIL,Ferrari,67.0,DNF,1
NC,28,Kenneth McAlpine,MCA,Connaught Lea Francis,63.0,DNF,0
NC,20,Harry Schell,SCH,Gordini,59.0,DNF,0
NC,30,Johnny Claes,CLA,Connaught Lea Francis,52.0,DNC,0
NC,12,Juan Manuel Fangio,FAN,Maserati,36.0,DNF,0
NC,22,Roberto Mieres,MIE,Gordini,28.0,DNF,0
NC,14,Jose Froilan Gonzalez,GON,Maserati,22.0,DNF,0
NC,32,Ken Wharton,WHA,Cooper Bristol,19.0,DNF,0
NC,26,Roy Salvadori,SAL,Connaught Lea Francis,14.0,DNF,0
NC,38,Lance Macklin,MAC,HWM Alta,7.0,DNF,0
