Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:17.225,23
2,1,Michael Schumacher,MSC,Benetton Renault,1:17.512,24
3,6,David Coulthard,COU,Williams Renault,1:17.925,21
4,27,Jean Alesi,ALE,Ferrari,1:18.761,20
5,14,Rubens Barrichello,BAR,Jordan Peugeot,1:18.810,22
6,26,Olivier Panis,PAN,Ligier Mugen Honda,1:19.047,22
7,28,Gerhard Berger,BER,Ferrari,1:19.051,20
8,8,Mika Hakkinen,HAK,McLaren Mercedes,1:19.238,22
9,25,Martin Brundle,BRU,Ligier Mugen Honda,1:19.384,15
10,2,Johnny Herbert,HER,Benetton Renault,1:19.555,21
11,15,Eddie Irvine,IRV,Jordan Peugeot,1:19.845,19
12,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:20.309,20
13,7,Mark Blundell,BLU,McLaren Mercedes,1:20.527,24
14,4,Mika Salo,SAL,Tyrrell Yamaha,1:20.796,22
15,29,Jean-Christophe Boullion,BOU,Sauber Ford,1:20.943,23
16,9,Gianni Morbidelli,MOR,Footwork Hart,1:21.076,24
17,24,Luca Badoer,BAD,Minardi Ford,1:21.323,12
18,10,Taki Inoue,INO,Footwork Hart,1:21.894,24
19,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:21.930,16
20,23,Pierluigi Martini,MAR,Minardi Ford,1:22.104,12
21,17,Andrea Montermini,MON,Pacific Ilmor,1:23.466,22
22,16,Bertrand Gachot,GAC,Pacific Ilmor,1:23.647,21
23,21,Pedro Diniz,DIN,Forti Ford,1:24.184,19
24,22,Roberto Moreno,MOR,Forti Ford,1:24.865,21
