Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:33.542,6
2,4,Ralf Schumacher,RSC,Williams BMW,1:34.032,6
3,14,Mark Webber,WEB,Jaguar Cosworth,1:34.571,6
4,10,Takuma Sato,SAT,BAR Honda,1:34.897,6
5,9,Jenson Button,BUT,BAR Honda,1:35.157,6
6,16,Jarno Trulli,TRU,Toyota,1:35.213,6
7,11,Giancarlo Fisichella,FIS,Sauber Petronas,1:36.136,6
8,5,David Coulthard,COU,McLaren Mercedes,1:36.156,6
9,7,Jacques Villeneuve,VIL,Renault,1:36.274,6
10,17,Olivier Panis,PAN,Toyota,1:36.420,6
11,8,Fernando Alonso,ALO,Renault,1:36.663,6
12,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:36.820,6
13,3,Juan Pablo Montoya,MOY,Williams BMW,1:37.653,6
14,15,Christian Klien,KLI,Jaguar Cosworth,1:38.258,6
15,2,Rubens Barrichello,BAR,Ferrari,1:38.637,6
16,18,Nick Heidfeld,HEI,Jordan Ford,1:41.953,6
17,19,Timo Glock,GLO,Jordan Ford,1:43.533,6
18,20,Gianmaria Bruni,BRU,Minardi Cosworth,1:48.069,6
19,12,Felipe Massa,MAS,Sauber Petronas,1:41.707,5
20,21,Zsolt Baumgartner,BAU,Minardi Cosworth,No Time,2
