Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,8,Fernando Alonso,ALO,Renault,1:13.698,6
2,1,Michael Schumacher,MSC,Ferrari,1:13.971,6
3,5,David Coulthard,COU,McLaren Mercedes,1:13.987,6
4,9,Jenson Button,BUT,BAR Honda,1:13.995,6
5,7,Jarno Trulli,TRU,Renault,1:14.070,6
6,3,Juan Pablo Montoya,MOY,Williams BMW,1:14.172,6
7,10,Takuma Sato,SAT,BAR Honda,1:14.240,6
8,4,Marc Gene,GEN,Williams BMW,1:14.275,6
9,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:14.346,6
10,2,Rubens Barrichello,BAR,Ferrari,1:14.478,3
11,16,Cristiano da Matta,DAM,Toyota,1:14.553,6
12,14,Mark Webber,WEB,Jaguar Cosworth,1:14.798,6
13,15,Christian Klien,KLI,Jaguar Cosworth,1:15.065,6
14,17,Olivier Panis,PAN,Toyota,1:15.130,6
15,11,Giancarlo Fisichella,FIS,Sauber Petronas,1:16.177,6
16,12,Felipe Massa,MAS,Sauber Petronas,1:16.200,6
17,18,Nick Heidfeld,HEI,Jordan Ford,1:16.807,6
18,19,Giorgio Pantano,PAN,Jordan Ford,1:17.462,6
19,20,Gianmaria Bruni,BRU,Minardi Cosworth,1:17.913,6
20,21,Zsolt Baumgartner,BAU,Minardi Cosworth,1:18.247,6
