Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,2,Rubens Barrichello,BAR,Ferrari,1:10.646,6
2,3,Juan Pablo Montoya,MOY,Williams BMW,1:10.850,6
3,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:10.892,6
4,12,Felipe Massa,MAS,Sauber Petronas,1:10.922,6
5,9,Jenson Button,BUT,BAR Honda,1:11.092,6
6,10,Takuma Sato,SAT,BAR Honda,1:11.120,6
7,4,Ralf Schumacher,RSC,Williams BMW,1:11.131,6
8,1,Michael Schumacher,MSC,Ferrari,1:11.386,6
9,8,Fernando Alonso,ALO,Renault,1:11.454,6
10,16,Jarno Trulli,TRU,Toyota,1:11.483,6
11,11,Giancarlo Fisichella,FIS,Sauber Petronas,1:11.571,6
12,14,Mark Webber,WEB,Jaguar Cosworth,1:11.665,6
13,5,David Coulthard,COU,McLaren Mercedes,1:11.750,6
14,7,Jacques Villeneuve,VIL,Renault,1:11.836,6
15,17,Ricardo Zonta,ZON,Toyota,1:11.974,6
16,15,Christian Klien,KLI,Jaguar Cosworth,1:12.211,6
17,18,Nick Heidfeld,HEI,Jordan Ford,1:12.829,6
18,19,Timo Glock,GLO,Jordan Ford,1:13.502,6
19,21,Zsolt Baumgartner,BAU,Minardi Cosworth,1:13.550,6
20,20,Gianmaria Bruni,BRU,Minardi Cosworth,1:12.916,3
