Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,7,Jarno Trulli,TRU,Renault,1:56.232,6
2,1,Michael Schumacher,MSC,Ferrari,1:56.304,6
3,8,Fernando Alonso,ALO,Renault,1:56.686,6
4,5,David Coulthard,COU,McLaren Mercedes,1:57.990,6
5,11,Giancarlo Fisichella,FIS,Sauber Petronas,1:58.040,6
6,2,Rubens Barrichello,BAR,Ferrari,1:58.175,6
7,14,Mark Webber,WEB,Jaguar Cosworth,1:58.729,6
8,12,Felipe Massa,MAS,Sauber Petronas,1:59.008,6
9,17,Olivier Panis,PAN,Toyota,1:59.552,6
10,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:59.635,6
11,3,Juan Pablo Montoya,MOY,Williams BMW,1:59.681,6
12,9,Jenson Button,BUT,BAR Honda,2:00.237,6
13,15,Christian Klien,KLI,Jaguar Cosworth,2:01.246,6
14,4,Antonio Pizzonia,PIZ,Williams BMW,2:01.447,6
15,10,Takuma Sato,SAT,BAR Honda,2:01.813,6
16,18,Nick Heidfeld,HEI,Jordan Ford,2:02.645,6
17,20,Gianmaria Bruni,BRU,Minardi Cosworth,2:02.651,6
18,21,Zsolt Baumgartner,BAU,Minardi Cosworth,2:03.303,6
19,19,Giorgio Pantano,PAN,Jordan Ford,2:03.833,6
20,16,Ricardo Zonta,ZON,Toyota,2:03.895,5
