Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Jacques Villeneuve,VIL,Williams Renault,1:50.574,11
2,5,Damon Hill,HIL,Williams Renault,1:50.980,10
3,1,Michael Schumacher,MSC,Ferrari,1:51.778,10
4,8,David Coulthard,COU,McLaren Mercedes,1:51.884,7
5,4,Gerhard Berger,BER,Benetton Renault,1:51.960,11
6,7,Mika Hakkinen,HAK,McLaren Mercedes,1:52.318,8
7,3,Jean Alesi,ALE,Benetton Renault,1:52.354,7
8,12,Martin Brundle,BRU,Jordan Peugeot,1:52.977,12
9,2,Eddie Irvine,IRV,Ferrari,1:53.043,10
10,11,Rubens Barrichello,BAR,Jordan Peugeot,1:53.152,9
11,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:53.199,9
12,14,Johnny Herbert,HER,Sauber Ford,1:53.993,8
13,19,Mika Salo,SAL,Tyrrell Yamaha,1:54.095,12
14,9,Olivier Panis,PAN,Ligier Mugen Honda,1:54.220,7
15,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:54.700,12
16,17,Jos Verstappen,VER,Footwork Hart,1:55.150,8
17,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:55.371,8
18,16,Ricardo Rosset,ROS,Footwork Hart,1:56.286,8
19,20,Pedro Lamy,LAM,Minardi Ford,1:56.830,8
20,21,Giovanni Lavaggi,LAV,Minardi Ford,1:58.579,7
