Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:15.989,10
2,5,Damon Hill,HIL,Williams Renault,1:16.058,12
3,3,Jean Alesi,ALE,Benetton Renault,1:16.310,10
4,4,Gerhard Berger,BER,Benetton Renault,1:16.592,12
5,7,Mika Hakkinen,HAK,McLaren Mercedes,1:16.634,12
6,6,Jacques Villeneuve,VIL,Williams Renault,1:16.905,12
7,8,David Coulthard,COU,McLaren Mercedes,1:17.007,12
8,12,Martin Brundle,BRU,Jordan Peugeot,1:17.187,12
9,9,Olivier Panis,PAN,Ligier Mugen Honda,1:17.390,10
10,2,Eddie Irvine,IRV,Ferrari,1:17.443,12
11,11,Rubens Barrichello,BAR,Jordan Peugeot,1:17.665,12
12,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:17.676,12
13,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:17.739,12
14,19,Mika Salo,SAL,Tyrrell Yamaha,1:18.021,12
15,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:18.242,12
16,17,Jos Verstappen,VER,Footwork Hart,1:18.324,12
17,14,Johnny Herbert,HER,Sauber Ford,1:18.556,12
18,21,Giancarlo Fisichella,FIS,Minardi Ford,1:18.604,10
19,20,Pedro Lamy,LAM,Minardi Ford,1:19.210,12
20,16,Ricardo Rosset,ROS,Footwork Hart,1:19.242,12
21,22,Luca Badoer,BAD,Forti Ford,1:20.562,11
22,23,Andrea Montermini,MON,Forti Ford,1:20.647,12
