Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Juan Pablo Montoya,MOY,Williams BMW,1:13.114,12
2,1,Michael Schumacher,MSC,Ferrari,1:13.241,9
3,5,Ralf Schumacher,RSC,Williams BMW,1:13.328,12
4,3,David Coulthard,COU,McLaren Mercedes,1:13.565,12
5,4,Kimi Räikkönen,RAI,McLaren Mercedes,1:13.595,11
6,14,Jarno Trulli,TRU,Renault,1:13.611,11
7,15,Jenson Button,BUT,Renault,1:13.665,12
8,2,Rubens Barrichello,BAR,Ferrari,1:13.935,9
9,7,Nick Heidfeld,HEI,Sauber Petronas,1:14.233,12
10,24,Mika Salo,SAL,Toyota,1:14.443,12
11,17,Pedro de la Rosa,DLR,Jaguar Cosworth,1:14.464,12
12,8,Felipe Massa,MAS,Sauber Petronas,1:14.533,12
13,16,Eddie Irvine,IRV,Jaguar Cosworth,1:14.537,10
14,9,Giancarlo Fisichella,FIS,Jordan Honda,1:14.748,12
15,11,Jacques Villeneuve,VIL,BAR Honda,1:14.760,12
16,25,Allan McNish,MCN,Toyota,1:14.990,12
17,12,Olivier Panis,PAN,BAR Honda,1:14.996,11
18,20,Heinz-Harald Frentzen,FRE,Arrows Cosworth,1:15.112,12
19,10,Takuma Sato,SAT,Jordan Honda,1:15.296,10
20,23,Mark Webber,WEB,Minardi Asiatech,1:15.340,12
21,21,Enrique Bernoldi,BER,Arrows Cosworth,1:15.355,12
22,22,Alex Yoong,YOO,Minardi Asiatech,1:16.728,12
