Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,12,Ayrton Senna,SEN,McLaren Honda,1:23.998
2,11,Alain Prost,PRO,McLaren Honda,1:25.425
3,28,Gerhard Berger,BER,Ferrari,1:26.685
4,27,Michele Alboreto,ALB,Ferrari,1:27.297
5,5,Nigel Mansell,MAN,Williams Judd,1:27.665
6,19,Alessandro Nannini,NAN,Benetton Ford,1:27.869
7,17,Derek Warwick,WAR,Arrows Megatron,1:27.872
8,6,Riccardo Patrese,PAT,Williams Judd,1:28.016
9,18,Eddie Cheever,CHE,Arrows Megatron,1:28.227
10,3,Jonathan Palmer,PAL,Tyrrell Ford,1:28.358
11,1,Nelson Piquet,PIQ,Lotus Honda,1:28.403
12,14,Philippe Streiff,STR,AGS Ford,1:28.527
13,30,Philippe Alliot,ALL,Lola Ford,1:28.536
14,15,Mauricio Gugelmin,GUG,March Judd,1:28.610
15,24,Luis Perez-Sala,PER,Minardi Ford,1:28.625
16,20,Thierry Boutsen,BOU,Benetton Ford,1:28.640
17,36,Alex Caffi,CAF,Dallara Ford,1:29.075
18,32,Oscar Larrauri,LAR,Euro Brun Ford,1:29.093
19,22,Andrea de Cesaris,DEC,Rial Ford,1:29.298
20,25,Rene Arnoux,ARN,Ligier Judd,1:29.480
21,29,Yannick Dalmas,DAL,Lola Ford,1:29.601
22,16,Ivan Capelli,CAP,March Judd,1:29.603
23,9,Piercarlo Ghinzani,GHI,Zakspeed,1:30.121
24,31,Gabriele Tarquini,TAR,Coloni Ford,1:30.252
25,21,Nicola Larini,LAR,Osella,1:30.335
26,26,Stefan Johansson,JOH,Ligier Judd,1:30.505
27,2,Satoru Nakajima,NAK,Lotus Honda,1:30.611
28,10,Bernd Schneider,SCH,Zakspeed,1:30.613
29,23,Adrian Campos,CAM,Minardi Ford,1:30.793
30,4,Julian Bailey,BAI,Tyrrell Ford,1:30.816
