Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,12,Ayrton Senna,SEN,McLaren Honda,1:25.974
2,11,Alain Prost,PRO,McLaren Honda,1:26.277
3,28,Gerhard Berger,BER,Ferrari,1:26.654
4,27,Michele Alboreto,ALB,Ferrari,1:26.988
5,18,Eddie Cheever,CHE,Arrows Megatron,1:27.660
6,17,Derek Warwick,WAR,Arrows Megatron,1:27.815
7,1,Nelson Piquet,PIQ,Lotus Honda,1:28.044
8,20,Thierry Boutsen,BOU,Benetton Ford,1:28.870
9,19,Alessandro Nannini,NAN,Benetton Ford,1:28.958
10,6,Riccardo Patrese,PAT,Williams Judd,1:29.435
11,16,Ivan Capelli,CAP,March Judd,1:29.513
12,2,Satoru Nakajima,NAK,Lotus Honda,1:29.541
13,15,Mauricio Gugelmin,GUG,March Judd,1:30.035
14,23,Pierluigi Martini,MAR,Minardi Ford,1:30.125
15,10,Bernd Schneider,SCH,Zakspeed,1:30.161
16,9,Piercarlo Ghinzani,GHI,Zakspeed,1:30.476
17,21,Nicola Larini,LAR,Osella,1:30.481
18,22,Andrea de Cesaris,DEC,Rial Ford,1:30.560
19,24,Luis Perez-Sala,PER,Minardi Ford,1:30.698
20,30,Philippe Alliot,ALL,Lola Ford,1:30.962
21,36,Alex Caffi,CAF,Dallara Ford,1:30.989
22,5,Jean Louis Schlesser,SCH,Williams Judd,1:31.548
23,14,Philippe Streiff,STR,AGS Ford,1:31.676
24,25,Rene Arnoux,ARN,Ligier Judd,1:32.049
25,29,Yannick Dalmas,DAL,Lola Ford,1:32.164
26,4,Julian Bailey,BAI,Tyrrell Ford,1:32.290
27,3,Jonathan Palmer,PAL,Tyrrell Ford,1:32.405
28,26,Stefan Johansson,JOH,Ligier Judd,1:32.438
29,31,Gabriele Tarquini,TAR,Coloni Ford,1:32.829
30,33,Stefano Modena,MOD,Euro Brun Ford,1:33.226
