Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,12,Ayrton Senna,SEN,McLaren Honda,1:24.067
2,11,Alain Prost,PRO,McLaren Honda,1:24.134
3,5,Nigel Mansell,MAN,Williams Judd,1:24.269
4,20,Thierry Boutsen,BOU,Benetton Ford,1:24.904
5,19,Alessandro Nannini,NAN,Benetton Ford,1:25.032
6,16,Ivan Capelli,CAP,March Judd,1:25.115
7,6,Riccardo Patrese,PAT,Williams Judd,1:25.217
8,28,Gerhard Berger,BER,Ferrari,1:25.466
9,1,Nelson Piquet,PIQ,Lotus Honda,1:25.648
10,27,Michele Alboreto,ALB,Ferrari,1:26.447
11,15,Mauricio Gugelmin,GUG,March Judd,1:26.578
12,30,Philippe Alliot,ALL,Lola Ford,1:26.832
13,14,Philippe Streiff,STR,AGS Ford,1:26.971
14,21,Nicola Larini,LAR,Osella,1:27.012
15,2,Satoru Nakajima,NAK,Lotus Honda,1:27.171
16,29,Yannick Dalmas,DAL,Lola Ford,1:27.187
17,17,Derek Warwick,WAR,Arrows Megatron,1:27.240
18,36,Alex Caffi,CAF,Dallara Ford,1:27.350
19,25,Rene Arnoux,ARN,Ligier Judd,1:27.351
20,23,Pierluigi Martini,MAR,Minardi Ford,1:27.407
21,26,Stefan Johansson,JOH,Ligier Judd,1:27.474
22,3,Jonathan Palmer,PAL,Tyrrell Ford,1:27.548
23,22,Andrea de Cesaris,DEC,Rial Ford,1:27.798
24,24,Luis Perez-Sala,PER,Minardi Ford,1:27.833
25,18,Eddie Cheever,CHE,Arrows Megatron,1:27.859
26,33,Stefano Modena,MOD,Euro Brun Ford,1:27.977
27,10,Bernd Schneider,SCH,Zakspeed,1:28.194
28,32,Oscar Larrauri,LAR,Euro Brun Ford,1:28.664
29,4,Julian Bailey,BAI,Tyrrell Ford,1:29.066
30,9,Piercarlo Ghinzani,GHI,Zakspeed,1:29.503
