Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,11,Alain Prost,PRO,McLaren Honda,1:07.589
2,12,Ayrton Senna,SEN,McLaren Honda,1:08.067
3,28,Gerhard Berger,BER,Ferrari,1:08.282
4,27,Michele Alboreto,ALB,Ferrari,1:09.422
5,20,Thierry Boutsen,BOU,Benetton Ford,1:09.587
6,19,Alessandro Nannini,NAN,Benetton Ford,1:09.718
7,1,Nelson Piquet,PIQ,Lotus Honda,1:09.734
8,2,Satoru Nakajima,NAK,Lotus Honda,1:10.250
9,5,Nigel Mansell,MAN,Williams Judd,1:10.337
10,16,Ivan Capelli,CAP,March Judd,1:10.496
11,17,Derek Warwick,WAR,Arrows Megatron,1:10.634
12,22,Andrea de Cesaris,DEC,Rial Ford,1:10.861
13,18,Eddie Cheever,CHE,Arrows Megatron,1:10.979
14,36,Alex Caffi,CAF,Dallara Ford,1:11.211
15,6,Riccardo Patrese,PAT,Williams Judd,1:11.286
16,15,Mauricio Gugelmin,GUG,March Judd,1:11.315
17,14,Philippe Streiff,STR,AGS Ford,1:11.466
18,30,Philippe Alliot,ALL,Lola Ford,1:11.511
19,29,Yannick Dalmas,DAL,Lola Ford,1:11.747
20,33,Stefano Modena,MOD,Euro Brun Ford,1:12.007
21,10,Bernd Schneider,SCH,Zakspeed,1:12.026
22,23,Pierluigi Martini,MAR,Minardi Ford,1:12.268
23,3,Jonathan Palmer,PAL,Tyrrell Ford,1:12.316
24,21,Nicola Larini,LAR,Osella,1:12.406
25,24,Luis Perez-Sala,PER,Minardi Ford,1:12.525
26,32,Oscar Larrauri,LAR,Euro Brun Ford,1:12.538
27,25,Rene Arnoux,ARN,Ligier Judd,1:12.654
28,4,Julian Bailey,BAI,Tyrrell Ford,1:12.697
29,26,Stefan Johansson,JOH,Ligier Judd,1:12.801
