Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,12,Ayrton Senna,SEN,McLaren Honda,1:27.148
2,11,Alain Prost,PRO,McLaren Honda,1:27.919
3,1,Nelson Piquet,PIQ,Lotus Honda,1:30.500
4,19,Alessandro Nannini,NAN,Benetton Ford,1:30.590
5,28,Gerhard Berger,BER,Ferrari,1:30.683
6,6,Riccardo Patrese,PAT,Williams Judd,1:30.952
7,18,Eddie Cheever,CHE,Arrows Megatron,1:31.300
8,20,Thierry Boutsen,BOU,Benetton Ford,1:31.414
9,16,Ivan Capelli,CAP,March Judd,1:31.519
10,27,Michele Alboreto,ALB,Ferrari,1:31.520
11,5,Nigel Mansell,MAN,Williams Judd,1:31.635
12,2,Satoru Nakajima,NAK,Lotus Honda,1:31.647
13,14,Philippe Streiff,STR,AGS Ford,1:32.013
14,17,Derek Warwick,WAR,Arrows Megatron,1:32.483
15,30,Philippe Alliot,ALL,Lola Ford,1:32.712
16,22,Andrea de Cesaris,DEC,Rial Ford,1:33.037
17,31,Gabriele Tarquini,TAR,Coloni Ford,1:33.236
18,24,Luis Perez-Sala,PER,Minardi Ford,1:33.239
19,29,Yannick Dalmas,DAL,Lola Ford,1:33.374
20,15,Mauricio Gugelmin,GUG,March Judd,1:33.448
21,4,Julian Bailey,BAI,Tyrrell Ford,1:33.874
22,23,Adrian Campos,CAM,Minardi Ford,1:33.903
23,3,Jonathan Palmer,PAL,Tyrrell Ford,1:33.972
24,36,Alex Caffi,CAF,Dallara Ford,1:34.204
25,9,Piercarlo Ghinzani,GHI,Zakspeed,1:34.567
26,33,Stefano Modena,MOD,Euro Brun Ford,1:34.782
27,32,Oscar Larrauri,LAR,Euro Brun Ford,1:35.077
28,26,Stefan Johansson,JOH,Ligier Judd,1:35.654
29,25,Rene Arnoux,ARN,Ligier Judd,1:36.123
30,10,Bernd Schneider,SCH,Zakspeed,1:36.218
