Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,17,Ralf Schumacher,RSC,Toyota,1:46.106,3
2,3,Jenson Button,BUT,BAR Honda,1:46.141,3
3,6,Giancarlo Fisichella,FIS,Renault,1:46.276,3
4,15,Christian Klien,KLI,RBR Cosworth,1:46.464,3
5,4,Takuma Sato,SAT,BAR Honda,1:46.841,3
6,14,David Coulthard,COU,RBR Cosworth,1:46.892,3
7,7,Mark Webber,WEB,Williams BMW,1:47.233,3
8,11,Jacques Villeneuve,VIL,Sauber Petronas,1:47.440,3
9,2,Rubens Barrichello,BAR,Ferrari,1:48.248,3
10,12,Felipe Massa,MAS,Sauber Petronas,1:48.278,3
11,19,Narain Karthikeyan,KAR,Jordan Toyota,1:48.718,3
12,8,Antonio Pizzonia,PIZ,Williams BMW,1:48.898,3
13,21,Christijan Albers,ALB,Minardi Cosworth,1:50.843,3
14,1,Michael Schumacher,MSC,Ferrari,1:52.676,3
15,20,Robert Doornbos,DOO,Minardi Cosworth,1:52.894,3
16,5,Fernando Alonso,ALO,Renault,1:54.667,3
17,9,Kimi Räikkönen,RAI,McLaren Mercedes,2:02.309,3
18,10,Juan Pablo Montoya,MOY,McLaren Mercedes,No Time,2
19,16,Jarno Trulli,TRU,Toyota,No Time,2
20,18,Tiago Monteiro,MON,Jordan Toyota,No Time,1
