Position,Driver,Nationality,Constructor,Points
1,Juan Manuel Fangio,ARG,FERRARI,30
2,Stirling Moss,GBR,MASERATI,27
3,Peter Collins,GBR,FERRARI,25
4,Jean Behra,FRA,MASERATI,22
5,Pat Flaherty,USA,WATSON OFFENHAUSER,8
6,Eugenio Castellotti,ITA,FERRARI,7.5
7,Sam Hanks,USA,KURTIS KRAFT OFFENHAUSER,6
7,Paul Frere,BEL,FERRARI,6
7,Paco Godia,ESP,MASERATI,6
10,Jack Fairman,GBR,CONNAUGHT ALTA,5
11,Mike Hawthorn,GBR,BRM,4
11,Luigi Musso,ITA,FERRARI,4
11,Don Freeland,USA,PHILLIPS OFFENHAUSER,4
11,Ron Flockhart,GBR,CONNAUGHT ALTA,4
15,Johnnie Parsons,USA,KUZMA OFFENHAUSER,3
15,Harry Schell,USA,VANWALL,3
15,Alfonso de Portago,ESP,FERRARI,3
15,Cesare Perdisa,ITA,MASERATI,3
19,Olivier Gendebien,BEL,FERRARI,2
19,Hermano da Silva Ramos,BRA,GORDINI,2
19,Dick Rathmann,USA,KURTIS KRAFT OFFENHAUSER,2
19,Luigi Villoresi,ITA,MASERATI,2
19,Horace Gould,GBR,MASERATI,2
19,Louis Rosier,FRA,MASERATI,2
25,Gerino Gerini,ITA,MASERATI,1.5
25,Chico Landi,BRA,MASERATI,1.5
27,Paul Russo,USA,KURTIS KRAFT NOVI,1
