Position,Driver,Nationality,Constructor,Points
1,Juan Manuel Fangio,ARG,MASERATI,40
2,Stirling Moss,GBR,VANWALL,25
3,Luigi Musso,ITA,FERRARI,16
4,Mike Hawthorn,GBR,FERRARI,13
5,Tony Brooks,GBR,VANWALL,11
6,Masten Gregory,USA,MASERATI,10
6,Harry Schell,USA,MASERATI,10
8,Sam Hanks,USA,EPPERLY OFFENHAUSER,8
8,Peter Collins,GBR,FERRARI,8
10,Jim Rathmann,USA,EPPERLY OFFENHAUSER,7
11,Jean Behra,FRA,MASERATI,6
12,Stuart Lewis-Evans,GBR,VANWALL,5
12,Maurice Trintignant,FRA,FERRARI,5
14,Carlos Menditeguy,ARG,MASERATI,4
14,Jimmy Bryan,USA,KUZMA OFFENHAUSER,4
14,Wolfgang von Trips,GER,FERRARI,4
17,Paul Russo,USA,KURTIS KRAFT NOVI,3
18,Andy Linden,USA,KURTIS KRAFT OFFENHAUSER,2
18,Roy Salvadori,GBR,COOPER CLIMAX,2
20,Alfonso de Portago,ESP,FERRARI,1
20,Jose Froilan Gonzalez,ARG,FERRARI,1
20,Giorgio Scarlatti,ITA,MASERATI,1
