Position,Driver,Nationality,Constructor,Points
1,Jacques Villeneuve,CAN,WILLIAMS RENAULT,81
DQ,Michael Schumacher,GER,FERRARI,78
2,Heinz-Harald Frentzen,GER,WILLIAMS RENAULT,42
3,David Coulthard,GBR,MCLAREN MERCEDES,36
4,Jean Alesi,FRA,BENETTON RENAULT,36
5,Gerhard Berger,AUT,BENETTON RENAULT,27
6,Mika Hakkinen,FIN,MCLAREN MERCEDES,27
7,Eddie Irvine,GBR,FERRARI,24
8,Giancarlo Fisichella,ITA,JORDAN PEUGEOT,20
9,Olivier Panis,FRA,PROST MUGEN HONDA,16
10,Johnny Herbert,GBR,SAUBER PETRONAS,15
11,Ralf Schumacher,GER,JORDAN PEUGEOT,13
12,Damon Hill,GBR,ARROWS YAMAHA,7
13,Rubens Barrichello,BRA,STEWART FORD,6
14,Alexander Wurz,AUT,BENETTON RENAULT,4
15,Jarno Trulli,ITA,PROST MUGEN HONDA,3
16,Mika Salo,FIN,TYRRELL FORD,2
17,Pedro Diniz,BRA,ARROWS YAMAHA,2
18,Shinji Nakano,JPN,PROST MUGEN HONDA,2
19,Nicola Larini,ITA,SAUBER PETRONAS,1
