Position,Driver,Nationality,Constructor,Points
1,Alberto Ascari,ITA,FERRARI,34.5
2,Juan Manuel Fangio,ARG,MASERATI,27.5
3,Nino Farina,ITA,FERRARI,26
4,Mike Hawthorn,GBR,FERRARI,19
5,Luigi Villoresi,ITA,FERRARI,17
6,Jose Froilan Gonzalez,ARG,MASERATI,13.5
7,Bill Vukovich,USA,KURTIS KRAFT OFFENHAUSER,9
8,Toulo de Graffenried,SUI,MASERATI,7
9,Felice Bonetto,ITA,MASERATI,6.5
10,Art Cross,USA,KURTIS KRAFT OFFENHAUSER,6
11,Onofre Marimon,ARG,MASERATI,4
11,Maurice Trintignant,FRA,GORDINI,4
13,Oscar Alfredo Galvez,ARG,MASERATI,2
13,Sam Hanks,USA,KURTIS KRAFT OFFENHAUSER,2
13,Duane Carter,USA,KURTIS KRAFT OFFENHAUSER,2
13,Jack McGrath,USA,KURTIS KRAFT OFFENHAUSER,2
13,Hermann Lang,GER,MASERATI,2
18,Fred Agabashian,USA,KURTIS KRAFT OFFENHAUSER,1.5
18,Paul Russo,USA,KURTIS KRAFT OFFENHAUSER,1.5
