Position,Driver,Nationality,Constructor,Points
1,Keke Rosberg,FIN,WILLIAMS FORD,44
2,Didier Pironi,FRA,FERRARI,39
2,John Watson,GBR,MCLAREN FORD,39
4,Alain Prost,FRA,RENAULT,34
5,Niki Lauda,AUT,MCLAREN FORD,30
6,Rene Arnoux,FRA,RENAULT,28
7,Patrick Tambay,FRA,FERRARI,25
7,Michele Alboreto,ITA,TYRRELL FORD,25
9,Elio de Angelis,ITA,LOTUS FORD,23
10,Riccardo Patrese,ITA,BRABHAM BMW,21
11,Nelson Piquet,BRA,BRABHAM BMW,20
12,Eddie Cheever,USA,LIGIER MATRA,15
13,Derek Daly,IRL,WILLIAMS FORD,8
14,Nigel Mansell,GBR,LOTUS FORD,7
15,Carlos Reutemann,ARG,WILLIAMS FORD,6
15,Gilles Villeneuve,CAN,FERRARI,6
17,Andrea de Cesaris,ITA,ALFA ROMEO,5
17,Jacques Laffite,FRA,LIGIER MATRA,5
19,Mario Andretti,USA,FERRARI,4
20,Jean-Pierre Jarier,FRA,OSELLA FORD,3
20,Marc Surer,SUI,ARROWS FORD,3
22,Manfred Winkelhock,GER,ATS FORD,2
22,Eliseo Salazar,CHI,ATS FORD,2
22,Bruno Giacomelli,ITA,ALFA ROMEO,2
22,Mauro Baldi,ITA,ARROWS FORD,2
26,Chico Serra,BRA,FITTIPALDI FORD,1
