Position,Driver,Nationality,Constructor,Points
1,Michael Schumacher,GER,FERRARI,144
2,Rubens Barrichello,BRA,FERRARI,77
3,Juan Pablo Montoya,COL,WILLIAMS BMW,50
4,Ralf Schumacher,GER,WILLIAMS BMW,42
5,David Coulthard,GBR,MCLAREN MERCEDES,41
6,Kimi Räikkönen,FIN,MCLAREN MERCEDES,24
7,Jenson Button,GBR,RENAULT,14
8,Jarno Trulli,ITA,RENAULT,9
9,Eddie Irvine,GBR,JAGUAR COSWORTH,8
10,Nick Heidfeld,GER,SAUBER PETRONAS,7
11,Giancarlo Fisichella,ITA,JORDAN HONDA,7
12,Jacques Villeneuve,CAN,BAR HONDA,4
13,Felipe Massa,BRA,SAUBER PETRONAS,4
14,Olivier Panis,FRA,BAR HONDA,3
15,Takuma Sato,JPN,JORDAN HONDA,2
16,Mark Webber,AUS,MINARDI ASIATECH,2
17,Mika Salo,FIN,TOYOTA,2
18,Heinz-Harald Frentzen,GER,SAUBER PETRONAS,2
19,Allan McNish,GBR,TOYOTA,0
20,Alex Yoong,MAS,MINARDI ASIATECH,0
21,Pedro de la Rosa,ESP,JAGUAR COSWORTH,0
22,Enrique Bernoldi,BRA,ARROWS COSWORTH,0
