Position,Driver,Nationality,Constructor,Points
1,Alain Prost,FRA,MCLAREN HONDA,76
2,Ayrton Senna,BRA,MCLAREN HONDA,60
3,Riccardo Patrese,ITA,WILLIAMS RENAULT,40
4,Nigel Mansell,GBR,FERRARI,38
5,Thierry Boutsen,BEL,WILLIAMS RENAULT,37
6,Alessandro Nannini,ITA,BENETTON FORD,32
7,Gerhard Berger,AUT,FERRARI,21
8,Nelson Piquet,BRA,LOTUS JUDD,12
9,Jean Alesi,FRA,TYRRELL FORD,8
10,Derek Warwick,GBR,ARROWS FORD,7
11,Stefan Johansson,SWE,ONYX FORD,6
11,Michele Alboreto,ITA,LOLA LAMBORGHINI,6
11,Eddie Cheever,USA,ARROWS FORD,6
14,Johnny Herbert,GBR,TYRRELL FORD,5
15,Pierluigi Martini,ITA,MINARDI FORD,5
16,Andrea de Cesaris,ITA,DALLARA FORD,4
16,Mauricio Gugelmin,BRA,MARCH JUDD,4
16,Stefano Modena,ITA,BRABHAM JUDD,4
19,Alex Caffi,ITA,DALLARA FORD,4
20,Martin Brundle,GBR,BRABHAM JUDD,4
21,Christian Danner,GER,RIAL FORD,3
21,Satoru Nakajima,JPN,LOTUS JUDD,3
23,Rene Arnoux,FRA,LIGIER FORD,2
23,Emanuele Pirro,ITA,BENETTON FORD,2
25,Jonathan Palmer,GBR,TYRRELL FORD,2
26,Gabriele Tarquini,ITA,AGS FORD,1
26,Philippe Alliot,FRA,LOLA LAMBORGHINI,1
26,Olivier Grouillard,FRA,LIGIER FORD,1
26,Luis Perez-Sala,ESP,MINARDI FORD,1
