Position,Driver,Nationality,Constructor,Points
1,Ayrton Senna,BRA,MCLAREN HONDA,78
2,Alain Prost,FRA,FERRARI,71
3,Nelson Piquet,BRA,BENETTON FORD,43
3,Gerhard Berger,AUT,MCLAREN HONDA,43
5,Nigel Mansell,GBR,FERRARI,37
6,Thierry Boutsen,BEL,WILLIAMS RENAULT,34
7,Riccardo Patrese,ITA,WILLIAMS RENAULT,23
8,Alessandro Nannini,ITA,BENETTON FORD,21
9,Jean Alesi,FRA,TYRRELL FORD,13
10,Ivan Capelli,ITA,LEYTON HOUSE JUDD,6
10,Roberto Moreno,BRA,BENETTON FORD,6
12,Aguri Suzuki,JPN,LOLA LAMBORGHINI,6
13,Eric Bernard,FRA,LOLA LAMBORGHINI,5
14,Derek Warwick,GBR,LOTUS LAMBORGHINI,3
15,Satoru Nakajima,JPN,TYRRELL FORD,3
16,Alex Caffi,ITA,ARROWS FORD,2
16,Stefano Modena,ITA,BRABHAM JUDD,2
18,Mauricio Gugelmin,BRA,LEYTON HOUSE JUDD,1
