Position,Driver,Nationality,Constructor,Points
1,Jack Brabham,AUS,COOPER CLIMAX,43
2,Bruce McLaren,NZL,COOPER CLIMAX,34
3,Stirling Moss,GBR,LOTUS CLIMAX,19
4,Innes Ireland,GBR,LOTUS CLIMAX,18
5,Phil Hill,USA,COOPER CLIMAX,16
6,Olivier Gendebien,BEL,COOPER CLIMAX,10
6,Wolfgang von Trips,GER,COOPER MASERATI,10
8,Jim Rathmann,USA,WATSON OFFENHAUSER,8
8,Richie Ginther,USA,FERRARI,8
8,Jim Clark,GBR,LOTUS CLIMAX,8
11,Tony Brooks,GBR,COOPER CLIMAX,7
12,Cliff Allison,GBR,FERRARI,6
12,Rodger Ward,USA,WATSON OFFENHAUSER,6
12,John Surtees,GBR,LOTUS CLIMAX,6
15,Paul Goldsmith,USA,EPPERLY OFFENHAUSER,4
15,Graham Hill,GBR,BRM,4
15,Willy Mairesse,BEL,FERRARI,4
15,Jo Bonnier,SWE,BRM,4
19,Carlos Menditeguy,ARG,COOPER MASERATI,3
19,Don Branson,USA,PHILLIPS OFFENHAUSER,3
19,Henry Taylor,GBR,COOPER CLIMAX,3
19,Giulio Cabianca,ITA,COOPER CASTELLOTTI,3
23,Johnny Thomson,USA,LESOVSKY OFFENHAUSER,2
24,Eddie Johnson,USA,TREVIS OFFENHAUSER,1
24,Lucien Bianchi,BEL,COOPER CLIMAX,1
24,Ron Flockhart,GBR,COOPER CLIMAX,1
24,Hans Herrmann,GER,PORSCHE,1
