Position,Driver,Nationality,Constructor,Points
1,Sebastian Vettel,GER,RED BULL RACING RENAULT,281
2,Fernando Alonso,ESP,FERRARI,278
3,Kimi Räikkönen,FIN,LOTUS RENAULT,207
4,Lewis Hamilton,GBR,MCLAREN MERCEDES,190
5,Jenson Button,GBR,MCLAREN MERCEDES,188
6,Mark Webber,AUS,RED BULL RACING RENAULT,179
7,Felipe Massa,BRA,FERRARI,122
8,Romain Grosjean,FRA,LOTUS RENAULT,96
9,Nico Rosberg,GER,MERCEDES,93
10,Sergio Perez,MEX,SAUBER FERRARI,66
11,Nico Hulkenberg,GER,FORCE INDIA MERCEDES,63
12,Kamui Kobayashi,JPN,SAUBER FERRARI,60
13,Michael Schumacher,GER,MERCEDES,49
14,Paul di Resta,GBR,FORCE INDIA MERCEDES,46
15,Pastor Maldonado,VEN,WILLIAMS RENAULT,45
16,Bruno Senna,BRA,WILLIAMS RENAULT,31
17,Jean-Eric Vergne,FRA,STR FERRARI,16
18,Daniel Ricciardo,AUS,STR FERRARI,10
19,Vitaly Petrov,RUS,CATERHAM RENAULT,0
20,Timo Glock,GER,MARUSSIA COSWORTH,0
21,Charles Pic,FRA,MARUSSIA COSWORTH,0
22,Heikki Kovalainen,FIN,CATERHAM RENAULT,0
23,Jerome d'Ambrosio,BEL,LOTUS RENAULT,0
24,Narain Karthikeyan,IND,HRT COSWORTH,0
25,Pedro de la Rosa,ESP,HRT COSWORTH,0
