Position,Driver,Nationality,Constructor,Points
1,Sebastian Vettel,GER,RED BULL RACING RENAULT,397
2,Fernando Alonso,ESP,FERRARI,242
3,Mark Webber,AUS,RED BULL RACING RENAULT,199
4,Lewis Hamilton,GBR,MERCEDES,189
5,Kimi Räikkönen,FIN,LOTUS RENAULT,183
6,Nico Rosberg,GER,MERCEDES,171
7,Romain Grosjean,FRA,LOTUS RENAULT,132
8,Felipe Massa,BRA,FERRARI,112
9,Jenson Button,GBR,MCLAREN MERCEDES,73
10,Nico Hulkenberg,GER,SAUBER FERRARI,51
11,Sergio Perez,MEX,MCLAREN MERCEDES,49
12,Paul di Resta,GBR,FORCE INDIA MERCEDES,48
13,Adrian Sutil,GER,FORCE INDIA MERCEDES,29
14,Daniel Ricciardo,AUS,STR FERRARI,20
15,Jean-Eric Vergne,FRA,STR FERRARI,13
16,Esteban Gutierrez,MEX,SAUBER FERRARI,6
17,Valtteri Bottas,FIN,WILLIAMS RENAULT,4
18,Pastor Maldonado,VEN,WILLIAMS RENAULT,1
19,Jules Bianchi,FRA,MARUSSIA COSWORTH,0
20,Charles Pic,FRA,CATERHAM RENAULT,0
21,Heikki Kovalainen,FIN,LOTUS RENAULT,0
22,Giedo van der Garde,NED,CATERHAM RENAULT,0
23,Max Chilton,GBR,MARUSSIA COSWORTH,0
