Position,Driver,Nationality,Constructor,Points
1,Nico Rosberg,GER,MERCEDES,385
2,Lewis Hamilton,GBR,MERCEDES,380
3,Daniel Ricciardo,AUS,RED BULL RACING TAG HEUER,256
4,Sebastian Vettel,GER,FERRARI,212
5,Max Verstappen,NED,RED BULL RACING TAG HEUER,204
6,Kimi Räikkönen,FIN,FERRARI,186
7,Sergio Perez,MEX,FORCE INDIA MERCEDES,101
8,Valtteri Bottas,FIN,WILLIAMS MERCEDES,85
9,Nico Hulkenberg,GER,FORCE INDIA MERCEDES,72
10,Fernando Alonso,ESP,MCLAREN HONDA,54
11,Felipe Massa,BRA,WILLIAMS MERCEDES,53
12,Carlos Sainz,ESP,TORO ROSSO FERRARI,46
13,Romain Grosjean,FRA,HAAS FERRARI,29
14,Daniil Kvyat,RUS,TORO ROSSO FERRARI,25
15,Jenson Button,GBR,MCLAREN HONDA,21
16,Kevin Magnussen,DEN,RENAULT,7
17,Felipe Nasr,BRA,SAUBER FERRARI,2
18,Jolyon Palmer,GBR,RENAULT,1
19,Pascal Wehrlein,GER,MRT MERCEDES,1
20,Stoffel Vandoorne,BEL,MCLAREN HONDA,1
21,Esteban Gutierrez,MEX,HAAS FERRARI,0
22,Marcus Ericsson,SWE,SAUBER FERRARI,0
23,Esteban Ocon,FRA,MRT MERCEDES,0
24,Rio Haryanto,INA,MRT MERCEDES,0
