Position,Driver,Nationality,Constructor,Points
1,Denny Hulme,NZL,BRABHAM REPCO,51
2,Jack Brabham,AUS,BRABHAM REPCO,46
3,Jim Clark,GBR,LOTUS FORD,41
4,John Surtees,GBR,HONDA,20
4,Chris Amon,NZL,FERRARI,20
6,Pedro Rodriguez,MEX,COOPER MASERATI,15
6,Graham Hill,GBR,LOTUS FORD,15
8,Dan Gurney,USA,EAGLE CLIMAX,13
9,Jackie Stewart,GBR,BRM,10
10,Mike Spence,GBR,BRM,9
11,John Love,RHO,COOPER CLIMAX,6
11,Jochen Rindt,AUT,COOPER MASERATI,6
11,Jo Siffert,SUI,COOPER MASERATI,6
14,Bruce McLaren,NZL,MCLAREN BRM,3
14,Jo Bonnier,SWE,COOPER MASERATI,3
16,Bob Anderson,GBR,BRABHAM CLIMAX,2
16,Mike Parkes,GBR,FERRARI,2
16,Chris Irwin,GBR,BRM,2
19,Ludovico Scarfiotti,ITA,EAGLE WESLAKE,1
19,Guy Ligier,FRA,BRABHAM REPCO,1
19,Jacky Ickx,BEL,COOPER MASERATI,1
