Position,Driver,Nationality,Constructor,Points
1,Lewis Hamilton,GBR,MERCEDES,347
2,Valtteri Bottas,FIN,MERCEDES,223
3,Max Verstappen,NED,RED BULL RACING HONDA,214
4,Sergio Perez,MEX,RACING POINT BWT MERCEDES,125
5,Daniel Ricciardo,AUS,RENAULT,119
6,Carlos Sainz,ESP,MCLAREN RENAULT,105
7,Alexander Albon,THA,RED BULL RACING HONDA,105
8,Charles Leclerc,MON,FERRARI,98
9,Lando Norris,GBR,MCLAREN RENAULT,97
10,Pierre Gasly,FRA,ALPHATAURI HONDA,75
11,Lance Stroll,CAN,RACING POINT BWT MERCEDES,75
12,Esteban Ocon,FRA,RENAULT,62
13,Sebastian Vettel,GER,FERRARI,33
14,Daniil Kvyat,RUS,ALPHATAURI HONDA,32
15,Nico Hulkenberg,GER,RACING POINT BWT MERCEDES,10
16,Kimi Räikkönen,FIN,ALFA ROMEO RACING FERRARI,4
17,Antonio Giovinazzi,ITA,ALFA ROMEO RACING FERRARI,4
18,George Russell,GBR,WILLIAMS MERCEDES,3
19,Romain Grosjean,FRA,HAAS FERRARI,2
20,Kevin Magnussen,DEN,HAAS FERRARI,1
21,Nicholas Latifi,CAN,WILLIAMS MERCEDES,0
22,Jack Aitken,GBR,WILLIAMS MERCEDES,0
23,Pietro Fittipaldi,BRA,HAAS FERRARI,0
