Position,Driver,Nationality,Constructor,Points
1,Mika Hakkinen,FIN,MCLAREN MERCEDES,100
2,Michael Schumacher,GER,FERRARI,86
3,David Coulthard,GBR,MCLAREN MERCEDES,56
4,Eddie Irvine,GBR,FERRARI,47
5,Jacques Villeneuve,CAN,WILLIAMS MECACHROME,21
6,Damon Hill,GBR,JORDAN MUGEN HONDA,20
7,Heinz-Harald Frentzen,GER,WILLIAMS MECACHROME,17
8,Alexander Wurz,AUT,BENETTON PLAYLIFE,17
9,Giancarlo Fisichella,ITA,BENETTON PLAYLIFE,16
10,Ralf Schumacher,GER,JORDAN MUGEN HONDA,14
11,Jean Alesi,FRA,SAUBER PETRONAS,9
12,Rubens Barrichello,BRA,STEWART FORD,4
13,Mika Salo,FIN,ARROWS,3
14,Pedro Diniz,BRA,ARROWS,3
15,Johnny Herbert,GBR,SAUBER PETRONAS,1
16,Jan Magnussen,DEN,STEWART FORD,1
17,Jarno Trulli,ITA,PROST PEUGEOT,1
18,Ricardo Rosset,BRA,TYRRELL FORD,0
19,Olivier Panis,FRA,PROST PEUGEOT,0
20,Toranosuke Takagi,JPN,TYRRELL FORD,0
21,Shinji Nakano,JPN,MINARDI FORD,0
22,Esteban Tuero,ARG,MINARDI FORD,0
23,Jos Verstappen,NED,STEWART FORD,0
