Position,Driver,Nationality,Constructor,Points
1,Niki Lauda,AUT,FERRARI,72
2,Jody Scheckter,RSA,WOLF FORD,55
3,Mario Andretti,USA,LOTUS FORD,47
4,Carlos Reutemann,ARG,FERRARI,42
5,James Hunt,GBR,MCLAREN FORD,40
6,Jochen Mass,GER,MCLAREN FORD,25
7,Alan Jones,AUS,SHADOW FORD,22
8,Gunnar Nilsson,SWE,LOTUS FORD,20
8,Patrick Depailler,FRA,TYRRELL FORD,20
10,Jacques Laffite,FRA,LIGIER MATRA,18
11,Hans-Joachim Stuck,GER,BRABHAM ALFA ROMEO,12
12,Emerson Fittipaldi,BRA,FITTIPALDI FORD,11
13,John Watson,GBR,BRABHAM ALFA ROMEO,9
14,Ronnie Peterson,SWE,TYRRELL FORD,7
15,Carlos Pace,BRA,BRABHAM ALFA ROMEO,6
15,Vittorio Brambilla,ITA,SURTEES FORD,6
17,Patrick Tambay,FRA,ENSIGN FORD,5
17,Clay Regazzoni,SUI,ENSIGN FORD,5
19,Renzo Zorzi,ITA,SHADOW FORD,1
19,Jean-Pierre Jarier,FRA,LIGIER MATRA,1
19,Riccardo Patrese,ITA,SHADOW FORD,1
