Position,Driver,Nationality,Constructor,Points
1,Lewis Hamilton,GBR,MERCEDES,413
2,Valtteri Bottas,FIN,MERCEDES,326
3,Max Verstappen,NED,RED BULL RACING HONDA,278
4,Charles Leclerc,MON,FERRARI,264
5,Sebastian Vettel,GER,FERRARI,240
6,Carlos Sainz,ESP,MCLAREN RENAULT,96
7,Pierre Gasly,FRA,SCUDERIA TORO ROSSO HONDA,95
8,Alexander Albon,THA,RED BULL RACING HONDA,92
9,Daniel Ricciardo,AUS,RENAULT,54
10,Sergio Perez,MEX,RACING POINT BWT MERCEDES,52
11,Lando Norris,GBR,MCLAREN RENAULT,49
12,Kimi Räikkönen,FIN,ALFA ROMEO RACING FERRARI,43
13,Daniil Kvyat,RUS,SCUDERIA TORO ROSSO HONDA,37
14,Nico Hulkenberg,GER,RENAULT,37
15,Lance Stroll,CAN,RACING POINT BWT MERCEDES,21
16,Kevin Magnussen,DEN,HAAS FERRARI,20
17,Antonio Giovinazzi,ITA,ALFA ROMEO RACING FERRARI,14
18,Romain Grosjean,FRA,HAAS FERRARI,8
19,Robert Kubica,POL,WILLIAMS MERCEDES,1
20,George Russell,GBR,WILLIAMS MERCEDES,0
