Position,Driver,Nationality,Constructor,Points
1,Mario Andretti,USA,LOTUS FORD,64
2,Ronnie Peterson,SWE,LOTUS FORD,51
3,Carlos Reutemann,ARG,FERRARI,48
4,Niki Lauda,AUT,BRABHAM ALFA ROMEO,44
5,Patrick Depailler,FRA,TYRRELL FORD,34
6,John Watson,GBR,BRABHAM ALFA ROMEO,25
7,Jody Scheckter,RSA,WOLF FORD,24
8,Jacques Laffite,FRA,LIGIER MATRA,19
9,Gilles Villeneuve,CAN,FERRARI,17
9,Emerson Fittipaldi,BRA,FITTIPALDI FORD,17
11,Alan Jones,AUS,WILLIAMS FORD,11
11,Riccardo Patrese,ITA,ARROWS FORD,11
13,James Hunt,GBR,MCLAREN FORD,8
13,Patrick Tambay,FRA,MCLAREN FORD,8
15,Didier Pironi,FRA,TYRRELL FORD,7
16,Clay Regazzoni,SUI,SHADOW FORD,4
17,Jean-Pierre Jabouille,FRA,RENAULT,3
18,Hans-Joachim Stuck,GER,SHADOW FORD,2
19,Hector Rebaque,MEX,LOTUS FORD,1
19,Vittorio Brambilla,ITA,SURTEES FORD,1
19,Derek Daly,IRL,ENSIGN FORD,1
