Position,Driver,Nationality,Constructor,Points
1,Jack Brabham,AUS,COOPER CLIMAX,31
2,Tony Brooks,GBR,FERRARI,27
3,Stirling Moss,GBR,COOPER CLIMAX,25.5
4,Phil Hill,USA,FERRARI,20
5,Maurice Trintignant,FRA,COOPER CLIMAX,19
6,Bruce McLaren,NZL,COOPER CLIMAX,16.5
7,Dan Gurney,USA,FERRARI,13
8,Jo Bonnier,SWE,BRM,10
8,Masten Gregory,USA,COOPER CLIMAX,10
10,Rodger Ward,USA,KURTIS KRAFT OFFENHAUSER,8
11,Jim Rathmann,USA,WATSON OFFENHAUSER,6
12,Johnny Thomson,USA,LESOVSKY OFFENHAUSER,5
12,Innes Ireland,GBR,LOTUS CLIMAX,5
12,Harry Schell,USA,COOPER CLIMAX,5
15,Tony Bettenhausen,USA,EPPERLY OFFENHAUSER,3
15,Olivier Gendebien,BEL,FERRARI,3
17,Paul Goldsmith,USA,EPPERLY OFFENHAUSER,2
17,Jean Behra,FRA,FERRARI,2
17,Cliff Allison,GBR,FERRARI,2
