Position,Driver,Nationality,Constructor,Points
1,Alan Jones,AUS,WILLIAMS FORD,67
2,Nelson Piquet,BRA,BRABHAM FORD,54
3,Carlos Reutemann,ARG,WILLIAMS FORD,42
4,Jacques Laffite,FRA,LIGIER FORD,34
5,Didier Pironi,FRA,LIGIER FORD,32
6,Rene Arnoux,FRA,RENAULT,29
7,Elio de Angelis,ITA,LOTUS FORD,13
8,Jean-Pierre Jabouille,FRA,RENAULT,9
9,Riccardo Patrese,ITA,ARROWS FORD,7
10,Keke Rosberg,FIN,FITTIPALDI FORD,6
10,Derek Daly,IRL,TYRRELL FORD,6
10,John Watson,GBR,MCLAREN FORD,6
10,Jean-Pierre Jarier,FRA,TYRRELL FORD,6
10,Gilles Villeneuve,CAN,FERRARI,6
15,Emerson Fittipaldi,BRA,FITTIPALDI FORD,5
15,Alain Prost,FRA,MCLAREN FORD,5
17,Jochen Mass,GER,ARROWS FORD,4
17,Bruno Giacomelli,ITA,ALFA ROMEO,4
19,Jody Scheckter,RSA,FERRARI,2
20,Hector Rebaque,MEX,BRABHAM FORD,1
20,Mario Andretti,USA,LOTUS FORD,1
